	id	sentence1	label	positions
875	11	can recommend { LOCATION1 transit location } in South London	None	2 4 5 
1748	13	{ LOCATION1 general } is in my opinion is alot nicer than LOCATION1	Positive	0 2 
1749	13	{ LOCATION1 price } is in my opinion is alot nicer than LOCATION1	None	0 2 
1750	13	{ LOCATION1 safety } is in my opinion is alot nicer than LOCATION1	None	0 2 
1751	13	{ LOCATION1 transit location } is in my opinion is alot nicer than LOCATION1	None	0 2 3 
2188	14	i come from same area as david and have to agree if going to live in suburbia then { LOCATION1 general } area is good but EXPENSIVE	Positive	18 20 
2189	14	i come from same area as david and have to agree if going to live in suburbia then { LOCATION1 price } area is good but EXPENSIVE	Negative	18 20 
2190	14	i come from same area as david and have to agree if going to live in suburbia then { LOCATION1 safety } area is good but EXPENSIVE	None	18 20 
2191	14	i come from same area as david and have to agree if going to live in suburbia then { LOCATION1 transit location } area is good but EXPENSIVE	None	18 20 21 
4348	19	{ LOCATION1 general } is not safe 100x 100 but is very nice restaurant cofe ' shop and park	None	0 2 
4349	19	{ LOCATION1 price } is not safe 100x 100 but is very nice restaurant cofe ' shop and park	None	0 2 
4350	19	{ LOCATION1 safety } is not safe 100x 100 but is very nice restaurant cofe ' shop and park	Negative	0 2 
4351	19	{ LOCATION1 transit location } is not safe 100x 100 but is very nice restaurant cofe ' shop and park	None	0 2 3 
5660	22	The only downside is that the railway connections from { LOCATION1 general } to London follow slow and often indirect lines	None	9 11 
5661	22	The only downside is that the railway connections from { LOCATION1 price } to London follow slow and often indirect lines	None	9 11 
5662	22	The only downside is that the railway connections from { LOCATION1 safety } to London follow slow and often indirect lines	None	9 11 
5663	22	The only downside is that the railway connections from { LOCATION1 transit location } to London follow slow and often indirect lines	Negative	9 11 12 
6532	24	{ LOCATION1 general } is quite industrial but has good transport links and many new flats being built , it lacks soul but it attracting new professionals due to the amenities and convenience	None	0 2 
6533	24	{ LOCATION1 price } is quite industrial but has good transport links and many new flats being built , it lacks soul but it attracting new professionals due to the amenities and convenience	None	0 2 
6534	24	{ LOCATION1 safety } is quite industrial but has good transport links and many new flats being built , it lacks soul but it attracting new professionals due to the amenities and convenience	None	0 2 
6535	24	{ LOCATION1 transit location } is quite industrial but has good transport links and many new flats being built , it lacks soul but it attracting new professionals due to the amenities and convenience	Positive	0 2 3 
6968	25	{ LOCATION1 general } would be the cheapest area to rent out of your list I like all the areas you listed	None	0 2 
6969	25	{ LOCATION1 price } would be the cheapest area to rent out of your list I like all the areas you listed	Positive	0 2 
6970	25	{ LOCATION1 safety } would be the cheapest area to rent out of your list I like all the areas you listed	None	0 2 
6971	25	{ LOCATION1 transit location } would be the cheapest area to rent out of your list I like all the areas you listed	None	0 2 3 
7800	27	Avoid { LOCATION1 general } - it 's super pricey	Negative	1 3 
7801	27	Avoid { LOCATION1 price } - it 's super pricey	Negative	1 3 
7802	27	Avoid { LOCATION1 safety } - it 's super pricey	None	1 3 
7803	27	Avoid { LOCATION1 transit location } - it 's super pricey	None	1 3 4 
8192	28	Avoid { LOCATION1 general } unless you are totally hardcore	Negative	1 3 
8193	28	Avoid { LOCATION1 price } unless you are totally hardcore	None	1 3 
8194	28	Avoid { LOCATION1 safety } unless you are totally hardcore	None	1 3 
8195	28	Avoid { LOCATION1 transit location } unless you are totally hardcore	None	1 3 4 
8672	30	The stereotype is an old one of { LOCATION1 general } , the area is very trendy now	Positive	7 9 
8673	30	The stereotype is an old one of { LOCATION1 price } , the area is very trendy now	None	7 9 
8674	30	The stereotype is an old one of { LOCATION1 safety } , the area is very trendy now	None	7 9 
8675	30	The stereotype is an old one of { LOCATION1 transit location } , the area is very trendy now	None	7 9 10 
8760	32	At least { LOCATION1 general } has a tube	None	2 4 
8761	32	At least { LOCATION1 price } has a tube	None	2 4 
8762	32	At least { LOCATION1 safety } has a tube	None	2 4 
8763	32	At least { LOCATION1 transit location } has a tube	Positive	2 4 5 
8848	34	And { LOCATION1 general } is certainly overpriced ( although where isnt in London	None	1 3 
8849	34	And { LOCATION1 price } is certainly overpriced ( although where isnt in London	Negative	1 3 
8850	34	And { LOCATION1 safety } is certainly overpriced ( although where isnt in London	None	1 3 
8851	34	And { LOCATION1 transit location } is certainly overpriced ( although where isnt in London	None	1 3 4 
8892	35	{ LOCATION1 general } is very cheap compared to any where else but I have been warned not to go there	Negative	0 2 
8893	35	{ LOCATION1 price } is very cheap compared to any where else but I have been warned not to go there	Positive	0 2 
8894	35	{ LOCATION1 safety } is very cheap compared to any where else but I have been warned not to go there	None	0 2 
8895	35	{ LOCATION1 transit location } is very cheap compared to any where else but I have been warned not to go there	None	0 2 3 
8976	37	{ LOCATION1 general } has a large Asian / Indian community which makes it a colourful interesting area with lots of world food on show in the markets as well as being handy for the Northern Line tube	None	0 2 
8977	37	{ LOCATION1 price } has a large Asian / Indian community which makes it a colourful interesting area with lots of world food on show in the markets as well as being handy for the Northern Line tube	None	0 2 
8978	37	{ LOCATION1 safety } has a large Asian / Indian community which makes it a colourful interesting area with lots of world food on show in the markets as well as being handy for the Northern Line tube	None	0 2 
8979	37	{ LOCATION1 transit location } has a large Asian / Indian community which makes it a colourful interesting area with lots of world food on show in the markets as well as being handy for the Northern Line tube	Positive	0 2 3 
9020	38	{ LOCATION1 general } is also slightly cheaper	None	0 2 
9021	38	{ LOCATION1 price } is also slightly cheaper	Positive	0 2 
9022	38	{ LOCATION1 safety } is also slightly cheaper	None	0 2 
9023	38	{ LOCATION1 transit location } is also slightly cheaper	None	0 2 3 
9108	40	Just looking briefly , it shows me that the closer to the centre , the more dangerous the area , with { LOCATION1 general } having the most crime	None	21 23 
9109	40	Just looking briefly , it shows me that the closer to the centre , the more dangerous the area , with { LOCATION1 price } having the most crime	None	21 23 
9110	40	Just looking briefly , it shows me that the closer to the centre , the more dangerous the area , with { LOCATION1 safety } having the most crime	Negative	21 23 
9111	40	Just looking briefly , it shows me that the closer to the centre , the more dangerous the area , with { LOCATION1 transit location } having the most crime	None	21 23 24 
9152	41	there are some cool places in { LOCATION1 general } , too	Positive	6 8 
9153	41	there are some cool places in { LOCATION1 price } , too	None	6 8 
9154	41	there are some cool places in { LOCATION1 safety } , too	None	6 8 
9155	41	there are some cool places in { LOCATION1 transit location } , too	None	6 8 9 
9240	43	No , { LOCATION1 general } is a lovely place	Positive	2 4 
9241	43	No , { LOCATION1 price } is a lovely place	None	2 4 
9242	43	No , { LOCATION1 safety } is a lovely place	None	2 4 
9243	43	No , { LOCATION1 transit location } is a lovely place	None	2 4 5 
9284	44	{ LOCATION1 general } is nice but a bit pricey	Positive	0 2 
9285	44	{ LOCATION1 price } is nice but a bit pricey	Negative	0 2 
9286	44	{ LOCATION1 safety } is nice but a bit pricey	None	0 2 
9287	44	{ LOCATION1 transit location } is nice but a bit pricey	None	0 2 3 
9328	45	'' Similarly neither has the jubilee line which means the odd time you end up going half way round the world just to go two stops , making the { LOCATION1 general } seem a bit cut off at times	None	29 31 
9329	45	'' Similarly neither has the jubilee line which means the odd time you end up going half way round the world just to go two stops , making the { LOCATION1 price } seem a bit cut off at times	None	29 31 
9330	45	'' Similarly neither has the jubilee line which means the odd time you end up going half way round the world just to go two stops , making the { LOCATION1 safety } seem a bit cut off at times	None	29 31 
9331	45	'' Similarly neither has the jubilee line which means the odd time you end up going half way round the world just to go two stops , making the { LOCATION1 transit location } seem a bit cut off at times	Negative	29 31 32 
9460	48	{ LOCATION1 general } is known for having a great culture vibe	Positive	0 2 
9461	48	{ LOCATION1 price } is known for having a great culture vibe	None	0 2 
9462	48	{ LOCATION1 safety } is known for having a great culture vibe	None	0 2 
9463	48	{ LOCATION1 transit location } is known for having a great culture vibe	None	0 2 3 
9504	49	{ LOCATION1 general } is a mainly Indian area but it very safe - lots of families with children	None	0 2 
9505	49	{ LOCATION1 price } is a mainly Indian area but it very safe - lots of families with children	None	0 2 
9506	49	{ LOCATION1 safety } is a mainly Indian area but it very safe - lots of families with children	Positive	0 2 
9507	49	{ LOCATION1 transit location } is a mainly Indian area but it very safe - lots of families with children	None	0 2 3 
9684	53	Having lived in { LOCATION1 general } , I think you 'll need to stay away from the dodgier parts of it , where crime prob is rife	None	3 5 
9685	53	Having lived in { LOCATION1 price } , I think you 'll need to stay away from the dodgier parts of it , where crime prob is rife	None	3 5 
9686	53	Having lived in { LOCATION1 safety } , I think you 'll need to stay away from the dodgier parts of it , where crime prob is rife	Negative	3 5 
9687	53	Having lived in { LOCATION1 transit location } , I think you 'll need to stay away from the dodgier parts of it , where crime prob is rife	None	3 5 6 
9816	56	you wo n't meet many scary poor people there { LOCATION1 general } is a posh area , unlike where i am	None	9 11 
9817	56	you wo n't meet many scary poor people there { LOCATION1 price } is a posh area , unlike where i am	Negative	9 11 
9818	56	you wo n't meet many scary poor people there { LOCATION1 safety } is a posh area , unlike where i am	None	9 11 
9819	56	you wo n't meet many scary poor people there { LOCATION1 transit location } is a posh area , unlike where i am	None	9 11 12 
9904	58	{ LOCATION1 general } is well connected by bus and LOCATION1 is close by	None	0 2 
9905	58	{ LOCATION1 price } is well connected by bus and LOCATION1 is close by	None	0 2 
9906	58	{ LOCATION1 safety } is well connected by bus and LOCATION1 is close by	None	0 2 
9907	58	{ LOCATION1 transit location } is well connected by bus and LOCATION1 is close by	Positive	0 2 3 
10084	62	Otherwise maybe { LOCATION1 general } - really nice , but maybe out of your budget	Positive	2 4 
10085	62	Otherwise maybe { LOCATION1 price } - really nice , but maybe out of your budget	Negative	2 4 
10086	62	Otherwise maybe { LOCATION1 safety } - really nice , but maybe out of your budget	None	2 4 
10087	62	Otherwise maybe { LOCATION1 transit location } - really nice , but maybe out of your budget	None	2 4 5 
10128	63	Avoid { LOCATION1 general } - it 's dirty , dangerous and grim	Negative	1 3 
10129	63	Avoid { LOCATION1 price } - it 's dirty , dangerous and grim	None	1 3 
10130	63	Avoid { LOCATION1 safety } - it 's dirty , dangerous and grim	Negative	1 3 
10131	63	Avoid { LOCATION1 transit location } - it 's dirty , dangerous and grim	None	1 3 4 
10172	64	If you do n't have a lot of budget , you could flat share in { LOCATION1 general } as it is quite expensive	None	15 17 
10173	64	If you do n't have a lot of budget , you could flat share in { LOCATION1 price } as it is quite expensive	Negative	15 17 
10174	64	If you do n't have a lot of budget , you could flat share in { LOCATION1 safety } as it is quite expensive	None	15 17 
10175	64	If you do n't have a lot of budget , you could flat share in { LOCATION1 transit location } as it is quite expensive	None	15 17 18 
10212	65	Then again your perception of how nice an area is depends on where you 're moving from I love { LOCATION1 general } and always feel safe there ; it 's one of my favourite areas	Positive	19 21 
10213	65	Then again your perception of how nice an area is depends on where you 're moving from I love { LOCATION1 price } and always feel safe there ; it 's one of my favourite areas	None	19 21 
10214	65	Then again your perception of how nice an area is depends on where you 're moving from I love { LOCATION1 safety } and always feel safe there ; it 's one of my favourite areas	Positive	19 21 
10215	65	Then again your perception of how nice an area is depends on where you 're moving from I love { LOCATION1 transit location } and always feel safe there ; it 's one of my favourite areas	None	19 21 22 
10344	68	One of the cheapest places in south east is { LOCATION1 general } , but it 's a bit rough round the edges	None	9 11 
10345	68	One of the cheapest places in south east is { LOCATION1 price } , but it 's a bit rough round the edges	Negative	9 11 
10346	68	One of the cheapest places in south east is { LOCATION1 safety } , but it 's a bit rough round the edges	Negative	9 11 
10347	68	One of the cheapest places in south east is { LOCATION1 transit location } , but it 's a bit rough round the edges	None	9 11 12 
10524	72	I lived in { LOCATION1 general } for 6 months and adored it	Positive	3 5 
10525	72	I lived in { LOCATION1 price } for 6 months and adored it	None	3 5 
10526	72	I lived in { LOCATION1 safety } for 6 months and adored it	None	3 5 
10527	72	I lived in { LOCATION1 transit location } for 6 months and adored it	None	3 5 6 
10568	73	I lived in { LOCATION1 general } all my life until a bit after my 22nd birthday with no incidents	None	3 5 
10569	73	I lived in { LOCATION1 price } all my life until a bit after my 22nd birthday with no incidents	None	3 5 
10570	73	I lived in { LOCATION1 safety } all my life until a bit after my 22nd birthday with no incidents	Positive	3 5 
10571	73	I lived in { LOCATION1 transit location } all my life until a bit after my 22nd birthday with no incidents	None	3 5 6 
10612	74	The streets are brightly painted in impressive graffiti , { LOCATION1 general } is a really interesting place and the clubs/bars are very cool	Positive	9 11 
10613	74	The streets are brightly painted in impressive graffiti , { LOCATION1 price } is a really interesting place and the clubs/bars are very cool	None	9 11 
10614	74	The streets are brightly painted in impressive graffiti , { LOCATION1 safety } is a really interesting place and the clubs/bars are very cool	None	9 11 
10615	74	The streets are brightly painted in impressive graffiti , { LOCATION1 transit location } is a really interesting place and the clubs/bars are very cool	None	9 11 12 
10656	75	{ LOCATION1 general } London aint exactly a dump just cause them germanz bombed here dey had 2 build alot of estates init	Positive	0 2 
10657	75	{ LOCATION1 price } London aint exactly a dump just cause them germanz bombed here dey had 2 build alot of estates init	None	0 2 
10658	75	{ LOCATION1 safety } London aint exactly a dump just cause them germanz bombed here dey had 2 build alot of estates init	None	0 2 
10659	75	{ LOCATION1 transit location } London aint exactly a dump just cause them germanz bombed here dey had 2 build alot of estates init	None	0 2 3 
10744	77	{ LOCATION1 general } is a great place to live vibrant , lots of shops and cafes etc , very multicultural what is best depends on what you want do you want cheap , do you want nightlife , do you want cafes there are many places within 30 mins travel to Bank I would suggest you look at easy transport links to Bank and work outwards from there	None	0 2 
10745	77	{ LOCATION1 price } is a great place to live vibrant , lots of shops and cafes etc , very multicultural what is best depends on what you want do you want cheap , do you want nightlife , do you want cafes there are many places within 30 mins travel to Bank I would suggest you look at easy transport links to Bank and work outwards from there	None	0 2 
10746	77	{ LOCATION1 safety } is a great place to live vibrant , lots of shops and cafes etc , very multicultural what is best depends on what you want do you want cheap , do you want nightlife , do you want cafes there are many places within 30 mins travel to Bank I would suggest you look at easy transport links to Bank and work outwards from there	None	0 2 
10747	77	{ LOCATION1 transit location } is a great place to live vibrant , lots of shops and cafes etc , very multicultural what is best depends on what you want do you want cheap , do you want nightlife , do you want cafes there are many places within 30 mins travel to Bank I would suggest you look at easy transport links to Bank and work outwards from there	Positive	0 2 3 
10788	78	Last year the person in the flat below mine was stabbed by a stranger in the street in { LOCATION1 general } and died	None	18 20 
10789	78	Last year the person in the flat below mine was stabbed by a stranger in the street in { LOCATION1 price } and died	None	18 20 
10790	78	Last year the person in the flat below mine was stabbed by a stranger in the street in { LOCATION1 safety } and died	Negative	18 20 
10791	78	Last year the person in the flat below mine was stabbed by a stranger in the street in { LOCATION1 transit location } and died	None	18 20 21 
10876	80	As for areas to live , yeah { LOCATION1 general } SW15 is great if youre a millionaire	None	7 9 
10877	80	As for areas to live , yeah { LOCATION1 price } SW15 is great if youre a millionaire	Negative	7 9 
10878	80	As for areas to live , yeah { LOCATION1 safety } SW15 is great if youre a millionaire	None	7 9 
10879	80	As for areas to live , yeah { LOCATION1 transit location } SW15 is great if youre a millionaire	None	7 9 10 
11092	85	Avoid { LOCATION1 general } as it is awash with criminals	Negative	1 3 
11093	85	Avoid { LOCATION1 price } as it is awash with criminals	None	1 3 
11094	85	Avoid { LOCATION1 safety } as it is awash with criminals	Negative	1 3 
11095	85	Avoid { LOCATION1 transit location } as it is awash with criminals	None	1 3 4 
11132	86	I would definitely recommend { LOCATION1 general }	Positive	4 6 
11133	86	I would definitely recommend { LOCATION1 price }	None	4 6 
11134	86	I would definitely recommend { LOCATION1 safety }	None	4 6 
11135	86	I would definitely recommend { LOCATION1 transit location }	None	4 6 7 
11264	89	{ LOCATION1 general } 's a very nice area , you 've got tube , trains and buses all there , all facilities	Positive	0 2 
11265	89	{ LOCATION1 price } 's a very nice area , you 've got tube , trains and buses all there , all facilities	None	0 2 
11266	89	{ LOCATION1 safety } 's a very nice area , you 've got tube , trains and buses all there , all facilities	None	0 2 
11267	89	{ LOCATION1 transit location } 's a very nice area , you 've got tube , trains and buses all there , all facilities	Positive	0 2 3 
11356	91	If not central , { LOCATION1 general } if you 're rich	None	4 6 
11357	91	If not central , { LOCATION1 price } if you 're rich	Negative	4 6 
11358	91	If not central , { LOCATION1 safety } if you 're rich	None	4 6 
11359	91	If not central , { LOCATION1 transit location } if you 're rich	Negative	4 6 7 
11444	93	{ LOCATION1 general } is a pretty desirable area you will see what I mean	Positive	0 2 
11445	93	{ LOCATION1 price } is a pretty desirable area you will see what I mean	None	0 2 
11446	93	{ LOCATION1 safety } is a pretty desirable area you will see what I mean	None	0 2 
11447	93	{ LOCATION1 transit location } is a pretty desirable area you will see what I mean	None	0 2 3 
11620	97	if head into places like { LOCATION1 general } which will probably exceed your budget	None	5 7 
11621	97	if head into places like { LOCATION1 price } which will probably exceed your budget	Negative	5 7 
11622	97	if head into places like { LOCATION1 safety } which will probably exceed your budget	None	5 7 
11623	97	if head into places like { LOCATION1 transit location } which will probably exceed your budget	None	5 7 8 
11704	99	Also try { LOCATION1 general } , one of my favourite places in the capital , populated by a lot of wealthy people so as long as you have plenty of cash to pay the rent you should have a great time	Positive	2 4 
11705	99	Also try { LOCATION1 price } , one of my favourite places in the capital , populated by a lot of wealthy people so as long as you have plenty of cash to pay the rent you should have a great time	Negative	2 4 
11706	99	Also try { LOCATION1 safety } , one of my favourite places in the capital , populated by a lot of wealthy people so as long as you have plenty of cash to pay the rent you should have a great time	None	2 4 
11707	99	Also try { LOCATION1 transit location } , one of my favourite places in the capital , populated by a lot of wealthy people so as long as you have plenty of cash to pay the rent you should have a great time	None	2 4 5 
44	100	I used to live in { LOCATION1 general } and I liked it	Positive	5 7 
45	100	I used to live in { LOCATION1 price } and I liked it	None	5 7 
46	100	I used to live in { LOCATION1 safety } and I liked it	None	5 7 
47	100	I used to live in { LOCATION1 transit location } and I liked it	None	5 7 8 
132	102	{ LOCATION1 general } station is about a ten minute train ride from the main station at LOCATION1	None	0 2 
133	102	{ LOCATION1 price } station is about a ten minute train ride from the main station at LOCATION1	None	0 2 
134	102	{ LOCATION1 safety } station is about a ten minute train ride from the main station at LOCATION1	None	0 2 
135	102	{ LOCATION1 transit location } station is about a ten minute train ride from the main station at LOCATION1	Positive	0 2 3 
220	104	{ LOCATION1 general } is on the Metropolitan Line of the Underground ; the trains are frequent and take 35 minutes to LOCATION1	None	0 2 
221	104	{ LOCATION1 price } is on the Metropolitan Line of the Underground ; the trains are frequent and take 35 minutes to LOCATION1	None	0 2 
222	104	{ LOCATION1 safety } is on the Metropolitan Line of the Underground ; the trains are frequent and take 35 minutes to LOCATION1	None	0 2 
223	104	{ LOCATION1 transit location } is on the Metropolitan Line of the Underground ; the trains are frequent and take 35 minutes to LOCATION1	Positive	0 2 3 
352	107	{ LOCATION1 general } is great too , and the area around liverpool road side would n't be too far from LOCATION2	Positive	0 2 
353	107	{ LOCATION1 price } is great too , and the area around liverpool road side would n't be too far from LOCATION2	None	0 2 
354	107	{ LOCATION1 safety } is great too , and the area around liverpool road side would n't be too far from LOCATION2	None	0 2 
355	107	{ LOCATION1 transit location } is great too , and the area around liverpool road side would n't be too far from LOCATION2	None	0 2 3 
11764	107	LOCATION1 is great too , and the area around liverpool road side would n't be too far from { LOCATION2 general }	None	18 20 
11765	107	LOCATION1 is great too , and the area around liverpool road side would n't be too far from { LOCATION2 price }	None	18 20 
11766	107	LOCATION1 is great too , and the area around liverpool road side would n't be too far from { LOCATION2 safety }	None	18 20 
11767	107	LOCATION1 is great too , and the area around liverpool road side would n't be too far from { LOCATION2 transit location }	None	18 20 21 
480	110	luddite - some areas of London are safer than others and { LOCATION1 general } according to the Met has one of the highest crime rates	None	11 13 
481	110	luddite - some areas of London are safer than others and { LOCATION1 price } according to the Met has one of the highest crime rates	None	11 13 
482	110	luddite - some areas of London are safer than others and { LOCATION1 safety } according to the Met has one of the highest crime rates	Negative	11 13 
483	110	luddite - some areas of London are safer than others and { LOCATION1 transit location } according to the Met has one of the highest crime rates	None	11 13 14 
608	113	{ LOCATION1 general } is THE worst	Negative	0 2 
609	113	{ LOCATION1 price } is THE worst	None	0 2 
610	113	{ LOCATION1 safety } is THE worst	None	0 2 
611	113	{ LOCATION1 transit location } is THE worst	None	0 2 3 
652	114	I 'm ready to get on the property ladder and { LOCATION1 general } is out of my budget	None	10 12 
653	114	I 'm ready to get on the property ladder and { LOCATION1 price } is out of my budget	Negative	10 12 
654	114	I 'm ready to get on the property ladder and { LOCATION1 safety } is out of my budget	None	10 12 
655	114	I 'm ready to get on the property ladder and { LOCATION1 transit location } is out of my budget	None	10 12 13 
736	116	{ LOCATION1 general } use to be really bad but it is getting better	Positive	0 2 
737	116	{ LOCATION1 price } use to be really bad but it is getting better	None	0 2 
738	116	{ LOCATION1 safety } use to be really bad but it is getting better	None	0 2 
739	116	{ LOCATION1 transit location } use to be really bad but it is getting better	None	0 2 3 
780	117	actually my friend lives in south east in { LOCATION1 general } and its terrible	Negative	8 10 
781	117	actually my friend lives in south east in { LOCATION1 price } and its terrible	None	8 10 
782	117	actually my friend lives in south east in { LOCATION1 safety } and its terrible	None	8 10 
783	117	actually my friend lives in south east in { LOCATION1 transit location } and its terrible	None	8 10 11 
960	121	a bit further out like { LOCATION1 general } might satisfy you if you do n't mind commuting	Positive	5 7 
961	121	a bit further out like { LOCATION1 price } might satisfy you if you do n't mind commuting	None	5 7 
962	121	a bit further out like { LOCATION1 safety } might satisfy you if you do n't mind commuting	None	5 7 
963	121	a bit further out like { LOCATION1 transit location } might satisfy you if you do n't mind commuting	Positive	5 7 8 
1004	122	Eg i wouldnt move to { LOCATION1 general }	Negative	5 7 
1005	122	Eg i wouldnt move to { LOCATION1 price }	None	5 7 
1006	122	Eg i wouldnt move to { LOCATION1 safety }	None	5 7 
1007	122	Eg i wouldnt move to { LOCATION1 transit location }	None	5 7 8 
1048	123	hope that helps very good I think { LOCATION1 general } ( N7 ) is getting expensive for very solid reasons	None	7 9 
1049	123	hope that helps very good I think { LOCATION1 price } ( N7 ) is getting expensive for very solid reasons	Negative	7 9 
1050	123	hope that helps very good I think { LOCATION1 safety } ( N7 ) is getting expensive for very solid reasons	None	7 9 
1051	123	hope that helps very good I think { LOCATION1 transit location } ( N7 ) is getting expensive for very solid reasons	None	7 9 10 
1180	126	areas like { LOCATION1 general } are much more dangerouse , it just doesnt get that much bad publicity	None	2 4 
1181	126	areas like { LOCATION1 price } are much more dangerouse , it just doesnt get that much bad publicity	None	2 4 
1182	126	areas like { LOCATION1 safety } are much more dangerouse , it just doesnt get that much bad publicity	Negative	2 4 
1183	126	areas like { LOCATION1 transit location } are much more dangerouse , it just doesnt get that much bad publicity	None	2 4 5 
1220	127	If I had the money , I would live near { LOCATION1 general }	None	10 12 
1221	127	If I had the money , I would live near { LOCATION1 price }	Negative	10 12 
1222	127	If I had the money , I would live near { LOCATION1 safety }	None	10 12 
1223	127	If I had the money , I would live near { LOCATION1 transit location }	None	10 12 13 
1264	128	You still have easy access to countryside from { LOCATION1 general }	None	8 10 
1265	128	You still have easy access to countryside from { LOCATION1 price }	None	8 10 
1266	128	You still have easy access to countryside from { LOCATION1 safety }	None	8 10 
1267	128	You still have easy access to countryside from { LOCATION1 transit location }	Positive	8 10 11 
1308	129	I live here in sunny { LOCATION1 general } where you do not really need a car for getting about	None	5 7 
1309	129	I live here in sunny { LOCATION1 price } where you do not really need a car for getting about	None	5 7 
1310	129	I live here in sunny { LOCATION1 safety } where you do not really need a car for getting about	None	5 7 
1311	129	I live here in sunny { LOCATION1 transit location } where you do not really need a car for getting about	Positive	5 7 8 
1356	130	But aside from this image you 'll find { LOCATION1 general } to be on balance a prosperous and youthful town	Positive	8 10 
1357	130	But aside from this image you 'll find { LOCATION1 price } to be on balance a prosperous and youthful town	None	8 10 
1358	130	But aside from this image you 'll find { LOCATION1 safety } to be on balance a prosperous and youthful town	None	8 10 
1359	130	But aside from this image you 'll find { LOCATION1 transit location } to be on balance a prosperous and youthful town	None	8 10 11 
1572	135	I ca n't understand the thumbs down for { LOCATION1 general } , that area is having lots of money thrown at it right now	Positive	8 10 
1573	135	I ca n't understand the thumbs down for { LOCATION1 price } , that area is having lots of money thrown at it right now	None	8 10 
1574	135	I ca n't understand the thumbs down for { LOCATION1 safety } , that area is having lots of money thrown at it right now	None	8 10 
1575	135	I ca n't understand the thumbs down for { LOCATION1 transit location } , that area is having lots of money thrown at it right now	None	8 10 11 
1612	136	{ LOCATION1 general } is more expensive ( London ) but is good for some of the local schools	None	0 2 
1613	136	{ LOCATION1 price } is more expensive ( London ) but is good for some of the local schools	Negative	0 2 
1614	136	{ LOCATION1 safety } is more expensive ( London ) but is good for some of the local schools	None	0 2 
1615	136	{ LOCATION1 transit location } is more expensive ( London ) but is good for some of the local schools	None	0 2 3 
1792	140	If you want a place near the centre that 's fairly cheap : try { LOCATION1 general }	None	14 16 
1793	140	If you want a place near the centre that 's fairly cheap : try { LOCATION1 price }	Positive	14 16 
1794	140	If you want a place near the centre that 's fairly cheap : try { LOCATION1 safety }	None	14 16 
1795	140	If you want a place near the centre that 's fairly cheap : try { LOCATION1 transit location }	Positive	14 16 17 
1876	142	{ LOCATION1 general } is the place , I love it	Positive	0 2 
1877	142	{ LOCATION1 price } is the place , I love it	None	0 2 
1878	142	{ LOCATION1 safety } is the place , I love it	None	0 2 
1879	142	{ LOCATION1 transit location } is the place , I love it	None	0 2 3 
