pair,sentences,pred,TRUE,,,,single,sentences,pred,TRUE,,,duplicated,,
319,LOCATION1 transit location also has it 's share but there 's no tube there so you 'd have to get the bus,1,2,,,,299,"LOCATION1 transit location is pretty safe and family oriented , in the west of London and not as expensive as central London",1,0,,,#N/A,,
348,Thanks I live in LOCATION1 general and enjoy the area a lot,0,1,,,,348,Thanks I live in LOCATION1 general and enjoy the area a lot,0,1,,,19,,
383,"LOCATION1 transit location seems to be more your kettle of fish , although it is n't directly on the train line",1,2,,,,379,"I have never had a problem in LOCATION1 transit location , even waiting for a night bus at 2am in the morning",1,0,,,#N/A,,
388,"LOCATION1 general is a very chilled place , much better to go out there than in LOCATION2",0,1,,,,388,"LOCATION1 general is a very chilled place , much better to go out there than in LOCATION2",0,1,,,21,,
447,LOCATION1 transit location area is cheaper to live and ypu can commute from there,1,2,,,,447,LOCATION1 transit location area is cheaper to live and ypu can commute from there,0,2,,,22,,
470,Just exercise the same caution as you would do at home LOCATION1 safety is half gentrified and upmarket and the other half is full of bars and restaurants V safe,1,0,,,,571,"I lived in LOCATION1 transit location and it wasnt the best but the public transport in LOCATION2 is the best You have a Tube station , a British rail station and a bus interchange",1,0,,,24,,
571,"I lived in LOCATION1 transit location and it wasnt the best but the public transport in LOCATION2 is the best You have a Tube station , a British rail station and a bus interchange",1,0,,,,600,For a high one you can get the best LOCATION1 general for a low one ( well that could be loads of places ),1,0,,,25,,
600,For a high one you can get the best LOCATION1 general for a low one ( well that could be loads of places ),1,0,,,,604,"LOCATION1 general mainly has sizeable houses , most of which have been converted into flats , and the cost of renting or purchasing is favourable compared with most of London because the area is n't regarded as fashionable",2,0,,,26,,
604,"LOCATION1 general mainly has sizeable houses , most of which have been converted into flats , and the cost of renting or purchasing is favourable compared with most of London because the area is n't regarded as fashionable",2,0,,,,605,"LOCATION1 price mainly has sizeable houses , most of which have been converted into flats , and the cost of renting or purchasing is favourable compared with most of London because the area is n't regarded as fashionable",2,1,,,27,,
605,"LOCATION1 price mainly has sizeable houses , most of which have been converted into flats , and the cost of renting or purchasing is favourable compared with most of London because the area is n't regarded as fashionable",2,1,,,,613,"You live where you can afford LOCATION1 price has a higher crime rate than many other areas of London , but Maxi says do n't walk alone anywhere in the uk That is nonsense I have walked everywhere in the uk",2,0,,,#N/A,,
616,"I know LOCATION1 general only vaguely and it 's okay ,",0,1,,,,648,"I actually think that LOCATION1 general aint too bad of a place , I love shopping there",2,1,,,#N/A,,
644,"LOCATION1 general , tend towards being less cool , more touristy",0,2,,,,704,I would suggest LOCATION1 general its only 15 minutes away on the train and the north circular is only 15 minute drive down,0,1,,,30,,
704,I would suggest LOCATION1 general its only 15 minutes away on the train and the north circular is only 15 minute drive down,0,1,,,,707,I would suggest LOCATION1 transit location its only 15 minutes away on the train and the north circular is only 15 minute drive down,1,0,,,31,,
707,I would suggest LOCATION1 transit location its only 15 minutes away on the train and the north circular is only 15 minute drive down,1,0,,,,712,"I can answer the safe affordable place to live part - try LOCATION1 general , LOCATION2 , and surrounding areas",1,0,,,32,,
712,"I can answer the safe affordable place to live part - try LOCATION1 general , LOCATION2 , and surrounding areas",1,0,,,,713,"I can answer the safe affordable place to live part - try LOCATION1 price , LOCATION2 , and surrounding areas",1,0,,,33,,
713,"I can answer the safe affordable place to live part - try LOCATION1 price , LOCATION2 , and surrounding areas",1,0,,,,714,"I can answer the safe affordable place to live part - try LOCATION1 safety , LOCATION2 , and surrounding areas",1,0,,,34,,
714,"I can answer the safe affordable place to live part - try LOCATION1 safety , LOCATION2 , and surrounding areas",1,0,,,,744,LOCATION1 general is great for a day out,0,1,,,36,,
732,Anyway I know where LOCATION1 general is and so on but I 've never liked it,0,2,,,,748,LOCATION1 general might be good for you as it has no tube or rail so the prices are lower,0,1,,,#N/A,,
744,LOCATION1 general is great for a day out,0,1,,,,751,LOCATION1 transit location might be good for you as it has no tube or rail so the prices are lower,1,2,,,#N/A,,
749,LOCATION1 price might be good for you as it has no tube or rail so the prices are lower,2,1,,,,760,LOCATION1 general would be a great location,1,0,,,39,,
757,LOCATION1 price is ok but aint that expensive well I dunno if your rich or not,2,1,,,,763,LOCATION1 transit location would be a great location,0,1,,,40,,
760,LOCATION1 general would be a great location,1,0,,,,772,"Loads of history , so have a look at LOCATION2 and LOCATION1 general",1,0,,,41,,
763,LOCATION1 transit location would be a great location,0,1,,,,776,"London is not as bad as you think and I live in one of the worst parts , LOCATION1 general",0,2,,,#N/A,,
772,"Loads of history , so have a look at LOCATION2 and LOCATION1 general",1,0,,,,796,LOCATION1 general ( great spot for tennis fans,1,0,,,#N/A,,
822,I always travel through LOCATION1 safety and it does look quite interesting but the fact that Ive seen way too many police cars and tape in the high street has made me think twice about visiting,0,2,,,,822,I always travel through LOCATION1 safety and it does look quite interesting but the fact that Ive seen way too many police cars and tape in the high street has made me think twice about visiting,0,2,,,42,,
827,"To compare the Greater London suburbs with urban areas in France , LOCATION2 is more similar to French suburbs than LOCATION1 transit location is , due to the higher density of housing and also the tram lines running through the town",1,0,,,,827,"To compare the Greater London suburbs with urban areas in France , LOCATION2 is more similar to French suburbs than LOCATION1 transit location is , due to the higher density of housing and also the tram lines running through the town",1,0,,,43,,
836,"Look at South London , areas such as LOCATION1 general",0,1,,,,871,There will be Underground stations in LOCATION1 transit location in the next few years,0,1,,,45,,
871,There will be Underground stations in LOCATION1 transit location in the next few years,0,1,,,,900,Just avoid LOCATION1 general and LOCATION2 unless you want to just go home and stay at home each evening ( some parts are rough,2,0,,,46,,
900,Just avoid LOCATION1 general and LOCATION2 unless you want to just go home and stay at home each evening ( some parts are rough,2,0,,,,938,"LOCATION1 safety is not very nice , with regards to the people , appearance , safety , and has poor connections",0,2,,,#N/A,,
932,I 'm not from LOCATION2 but the borough but my sister lives in LOCATION1 general and she loves it,0,1,,,,939,"LOCATION1 transit location is not very nice , with regards to the people , appearance , safety , and has poor connections",0,2,,,#N/A,,
968,LOCATION1 general is the best followed by LOCATION2,1,0,,,,968,LOCATION1 general is the best followed by LOCATION2,1,0,,,48,,
979,LOCATION1 transit location is no longer cheap as anywhere near a tube station in London is expensive as commuters want to be near them,1,0,,,,979,LOCATION1 transit location is no longer cheap as anywhere near a tube station in London is expensive as commuters want to be near them,2,0,,,49,,
981,"If your on a tighter budget try LOCATION1 price , LOCATION2 areas Yes S",2,1,,,,981,"If your on a tighter budget try LOCATION1 price , LOCATION2 areas Yes S",2,1,,,50,,
1000,I would therefore pick LOCATION1 general because its quite a nice area,1,2,,,,1000,I would therefore pick LOCATION1 general because its quite a nice area,1,2,,,51,,
1016,"- learn the red-light spots such as LOCATION1 general where alot of drugs , whores and drunks stay around , you do n't wan na get lost around those places",0,2,,,,1016,"- learn the red-light spots such as LOCATION1 general where alot of drugs , whores and drunks stay around , you do n't wan na get lost around those places",0,2,,,52,,
1018,"- learn the red-light spots such as LOCATION1 safety where alot of drugs , whores and drunks stay around , you do n't wan na get lost around those places",0,2,,,,1028,we love LOCATION1 general an area that has good food and shopping,1,0,,,55,,
1020,"Unless you want to go to private nightclubs in the evening and have lots of cash to spend , do n't suggest LOCATION1 general",0,2,,,,1122,"LOCATION1 safety is more affordable , but close to the center Dude , it 's London - NOWHERE is truly safe",1,0,,,58,,
1028,we love LOCATION1 general an area that has good food and shopping,1,0,,,,1144,"On the Central Line look at LOCATION1 general in LOCATION2 which is a very creative area with lots of musicans , artists , galleries , restaurants , etc",0,1,,,59,,
1047,"Stay in LOCATION1 transit location , that way when you are going to and from LOCATION2 all you have to do is get on the train and not have to worry about getting across London on the Tube with your suitcases and risk delays and so on",0,1,,,,1168,I also lived in LOCATION1 general another great area and this time it was a studio apartment with kitchen and bath,0,1,,,#N/A,,
1082,I will not lie to you LOCATION1 safety can be a little jagged around the corners sometimes,0,2,,,,1198,"LOCATION1 safety is not a good area , LOCATION2 in general can be quite rough",2,0,,,60,,
1122,"LOCATION1 safety is more affordable , but close to the center Dude , it 's London - NOWHERE is truly safe",1,0,,,,1204,"LOCATION1 general is ok , but can be a bit grotty , and getting on to the M1 can be a pain , LOCATION2 , would be more beneficial , as you have the Jubilee line into London , and your only minutes away from Junction 4 of the M1 , to get to Luton",1,2,,,61,,
1144,"On the Central Line look at LOCATION1 general in LOCATION2 which is a very creative area with lots of musicans , artists , galleries , restaurants , etc",0,1,,,,1207,"LOCATION1 transit location is ok , but can be a bit grotty , and getting on to the M1 can be a pain , LOCATION2 , would be more beneficial , as you have the Jubilee line into London , and your only minutes away from Junction 4 of the M1 , to get to Luton",0,2,,,62,,
1198,"LOCATION1 safety is not a good area , LOCATION2 in general can be quite rough",2,0,,,,1219,Lots of great places around LOCATION2 and LOCATION1 transit location ( tube : Piccadilly Circus or Leicester Square ),0,1,,,63,,
1204,"LOCATION1 general is ok , but can be a bit grotty , and getting on to the M1 can be a pain , LOCATION2 , would be more beneficial , as you have the Jubilee line into London , and your only minutes away from Junction 4 of the M1 , to get to Luton",1,2,,,,1248,"In fact , both LOCATION2 and LOCATION1 general contain some of the grandest suburban areas of Greater London",0,1,,,64,,
1207,"LOCATION1 transit location is ok , but can be a bit grotty , and getting on to the M1 can be a pain , LOCATION2 , would be more beneficial , as you have the Jubilee line into London , and your only minutes away from Junction 4 of the M1 , to get to Luton",1,2,,,,1255,The most expensive areas are probably LOCATION2 and LOCATION1 transit location in Central London,0,1,,,65,,
1219,Lots of great places around LOCATION2 and LOCATION1 transit location ( tube : Piccadilly Circus or Leicester Square ),0,1,,,,1256,"There is also LOCATION2 , which is an area perhaps comparable to LOCATION1 general and equally favoured by the Japanese",1,0,,,66,,
1248,"In fact , both LOCATION2 and LOCATION1 general contain some of the grandest suburban areas of Greater London",0,1,,,,1280,LOCATION2 is more of a problem as there are no tube stops unless you are actually looking at LOCATION1 general which is not a great area,2,1,,,67,,
1255,The most expensive areas are probably LOCATION2 and LOCATION1 transit location in Central London,0,1,,,,1283,LOCATION2 is more of a problem as there are no tube stops unless you are actually looking at LOCATION1 transit location which is not a great area,0,1,,,68,,
1256,"There is also LOCATION2 , which is an area perhaps comparable to LOCATION1 general and equally favoured by the Japanese",1,0,,,,1303,"In terms of value and proximity to central London , I would consider the LOCATION2 area and other areas of LOCATION1 transit location that are on the DLR",0,1,,,#N/A,,
1280,LOCATION2 is more of a problem as there are no tube stops unless you are actually looking at LOCATION1 general which is not a great area,2,1,,,,1343,"I 'd reommend you go LOCATION1 transit location , rather than LOCATION2 , because there are so few tube stations in LOCATION2 London",2,0,,,72,,
1283,LOCATION2 is more of a problem as there are no tube stops unless you are actually looking at LOCATION1 transit location which is not a great area,2,1,,,,1353,The transport links into central London are excellent and a cab back from LOCATION2 or LOCATION1 price at night is n't that expensive,1,0,,,73,,
1284,"id much rather be in LOCATION1 general , but there are areas like LOCATION2 that i tend to stay clear of",1,2,,,,1359,LOCATION2 is in London and a really safe suburb and LOCATION1 transit location is just outside of London and is a safe middle class area,0,2,,,74,,
1308,"For singles making a lot of money , try the LOCATION2 or LOCATION1 general",0,1,,,,1380,LOCATION1 general is a good location ( depending on exactly where though to be honest I meant LOCATION2 end is n't exactly glamorous,1,0,,,75,,
1309,"For singles making a lot of money , try the LOCATION2 or LOCATION1 price",0,2,,,,1383,LOCATION1 transit location is a good location ( depending on exactly where though to be honest I meant LOCATION2 end is n't exactly glamorous,0,1,,,76,,
1343,"I 'd reommend you go LOCATION1 transit location , rather than LOCATION2 , because there are so few tube stations in LOCATION2 London",1,0,,,,1396,LOCATION1 general and LOCATION2 are probably the most well known slum areas,0,2,,,#N/A,,
1353,The transport links into central London are excellent and a cab back from LOCATION2 or LOCATION1 price at night is n't that expensive,1,0,,,,1403,Well the best places to live in London are in the LOCATION2 and the very central LOCATION1 transit location,1,0,,,77,,
1359,LOCATION2 is in London and a really safe suburb and LOCATION1 transit location is just outside of London and is a safe middle class area,0,2,,,,1415,LOCATION1 transit location ( W12 ) and LOCATION2 ( W6 ) are further away,0,2,,,78,,
1380,LOCATION1 general is a good location ( depending on exactly where though to be honest I meant LOCATION2 end is n't exactly glamorous,1,0,,,,1416,"You 'll want to stay somewhere fairly central , so try areas around LOCATION1/LOCATION2 general",1,0,,,#N/A,,
1383,LOCATION1 transit location is a good location ( depending on exactly where though to be honest I meant LOCATION2 end is n't exactly glamorous,0,1,,,,1420,"Personally , I would steer clear of LOCATION2 and LOCATION1 general , simply because they 're the most expensive areas and with no good reason",2,0,,,79,,
1403,Well the best places to live in London are in the LOCATION2 and the very central LOCATION1 transit location,1,0,,,,1445,I would n't live in LOCATION1 price ( Too dangerous - it 's way above the Met average for all types of crime ) or LOCATION2 - which is both expensive and well above the Met average for Burglary and Robbery,2,0,,,#N/A,,
1415,LOCATION1 transit location ( W12 ) and LOCATION2 ( W6 ) are further away,0,2,,,,1448,"LOCATION1 general ( NW1 ) is ok , but beware of certain council blocks which do have a reputation",1,2,,,81,,
1420,"Personally , I would steer clear of LOCATION2 and LOCATION1 general , simply because they 're the most expensive areas and with no good reason",2,0,,,,1479,I think the most convenient is the LOCATION2/LOCATION1 transit location area,0,1,,,#N/A,,
1426,"As for the safety , LOCATION2 's also a good place but a bit noisy at times especially if you are close to LOCATION1 safety",2,0,,,,1483,"LOCATION2 and LOCATION1 transit location , are all worth a visit and close enough to explore on foot",1,0,,,84,,
1448,"LOCATION1 general ( NW1 ) is ok , but beware of certain council blocks which do have a reputation",1,2,,,,1484,LOCATION1 general is a posh place but LOCATION2 is nice also,1,0,,,85,,
1453,LOCATION1 price is beautiful and you will be highly privileged to live there You 'll be fine LOCATION2 has more restaurants and cafes and has more of an `` urban town `` feel but the three are very close,2,0,,,,1496,I do n't know anyone that 's wanted to voluntarily move to LOCATION1 general ; ) LOCATION2 is not much better I 'm afraid,0,2,,,86,,
1468,"The cheap parts of London are LOCATION2 and LOCATION1 general and they are all poor , crime ridden and crowded with immigrants",0,2,,,,1504,LOCATION1 general and LOCATION2 is just great as it 's near the river and park,1,0,,,#N/A,,
1483,"LOCATION2 and LOCATION1 transit location , are all worth a visit and close enough to explore on foot",1,0,,,,1508,I would give LOCATION1 general and LOCATION2 a wide birth if I were you,0,2,,,87,,
1484,LOCATION1 general is a posh place but LOCATION2 is nice also,1,0,,,,1512,"LOCATION2 or LOCATION1 general are a bit more urban and not as upmarket but definitely very lively and you wont be bored , a little cheaper too",1,0,,,88,,
1496,I do n't know anyone that 's wanted to voluntarily move to LOCATION1 general ; ) LOCATION2 is not much better I 'm afraid,0,2,,,,1543,"Cheap is just out of London , like LOCATION2 , LOCATION1 transit location , etc",0,2,,,89,,
1508,I would give LOCATION1 general and LOCATION2 a wide birth if I were you,0,2,,,,1584,i read somewhere that LOCATION1 general and LOCATION2 are zones to avoid due to crime rate and rough areas,0,2,,,90,,
1512,"LOCATION2 or LOCATION1 general are a bit more urban and not as upmarket but definitely very lively and you wont be bored , a little cheaper too",1,0,,,,1620,"If you wish to live closer to Central London , look into areas like LOCATION2 , LOCATION1 general",0,1,,,93,,
1543,"Cheap is just out of London , like LOCATION2 , LOCATION1 transit location , etc",0,2,,,,1623,"If you wish to live closer to Central London , look into areas like LOCATION2 , LOCATION1 transit location",0,1,,,94,,
1584,i read somewhere that LOCATION1 general and LOCATION2 are zones to avoid due to crime rate and rough areas,0,2,,,,1628,LOCATION2 is ridiculously expensive when it comes to rent so have a look at LOCATION1 general,1,0,,,95,,
1588,"Also , LOCATION2 and LOCATION1 general are good places for cheap housing , but I find them depressingly suburban",0,2,,,,1629,LOCATION2 is ridiculously expensive when it comes to rent so have a look at LOCATION1 price,2,1,,,96,,
1605,"Now if you like posh areas you could live in West London , in LOCATION2 , LOCATION1 price ,",0,2,,,,1634,i go to school in LOCATION2 area not much crime unless you travel to LOCATION1 safety at like night time,1,2,,,97,,
1620,"If you wish to live closer to Central London , look into areas like LOCATION2 , LOCATION1 general",0,1,,,,1656,This may sound stupid but whenever I visit a rough part of London such a as LOCATION2 or LOCATION1 general I really enjoy it there,0,1,,,98,,
1623,"If you wish to live closer to Central London , look into areas like LOCATION2 , LOCATION1 transit location",0,1,,,,1658,This may sound stupid but whenever I visit a rough part of London such a as LOCATION2 or LOCATION1 safety I really enjoy it there,0,2,,,99,,
1628,LOCATION2 is ridiculously expensive when it comes to rent so have a look at LOCATION1 general,1,0,,,,1696,"Avoid LOCATION2 ( nothing interesting there ) , stay LOCATION1 general areas",2,1,,,100,,
1629,LOCATION2 is ridiculously expensive when it comes to rent so have a look at LOCATION1 price,0,1,,,,1719,Well the best places to live in London are in the LOCATION2 and the very central LOCATION1 transit location,1,0,,,101,,
1634,i go to school in LOCATION2 area not much crime unless you travel to LOCATION1 safety at like night time,1,2,,,,1748,If money is no object look at LOCATION2 and LOCATION1 general,0,1,,,102,,
1656,This may sound stupid but whenever I visit a rough part of London such a as LOCATION2 or LOCATION1 general I really enjoy it there,0,1,,,,1776,"If you 're looking at areas to live , LOCATION1 general and LOCATION2 are fine",1,0,,,#N/A,,
1658,This may sound stupid but whenever I visit a rough part of London such a as LOCATION2 or LOCATION1 safety I really enjoy it there,0,2,,,,1780,"if your budget is big enough , try and get a place in LOCATION1/LOCATION2 general etc It really depends on budget",0,1,,,104,,
1696,"Avoid LOCATION2 ( nothing interesting there ) , stay LOCATION1 general areas",2,1,,,,1781,"if your budget is big enough , try and get a place in LOCATION1/LOCATION2 price etc It really depends on budget",0,2,,,#N/A,,
1719,Well the best places to live in London are in the LOCATION2 and the very central LOCATION1 transit location,1,0,,,,1800,If I had the money LOCATION1 general or LOCATION2,0,1,,,105,,
1748,If money is no object look at LOCATION2 and LOCATION1 general,0,1,,,,1809,LOCATION1 price is a bit on the pricey side so a cheaper alternative would be LOCATION2 which is also a perfectly safe area,1,2,,,#N/A,,
1764,"LOCATION2 is great , and LOCATION1 general - but they are a tad more pricey",0,1,,,,1810,LOCATION1 safety is a bit on the pricey side so a cheaper alternative would be LOCATION2 which is also a perfectly safe area,1,0,,,106,,
1780,"if your budget is big enough , try and get a place in LOCATION1/LOCATION2 general etc It really depends on budget",0,1,,,,1815,"In LOCATION1 transit location you 've got loads of shops , bars and restaurants and it 's only a short walk to LOCATION2e for cinemas and more bars and shops",0,1,,,107,,
1800,If I had the money LOCATION1 general or LOCATION2,0,1,,,,1820,"LOCATION1 general - bit more older middle class rich area , very nice , not so many pubs and very expensive LOCATION2 - lovely villagey feel and close to the beautiful hampstea heath , bit further out",1,0,,,108,,
1810,LOCATION1 safety is a bit on the pricey side so a cheaper alternative would be LOCATION2 which is also a perfectly safe area,2,0,,,,1823,"LOCATION1 transit location - bit more older middle class rich area , very nice , not so many pubs and very expensive LOCATION2 - lovely villagey feel and close to the beautiful hampstea heath , bit further out",2,0,,,109,,
1815,"In LOCATION1 transit location you 've got loads of shops , bars and restaurants and it 's only a short walk to LOCATION2e for cinemas and more bars and shops",0,1,,,,1871,"Obviously the best convenient places to stay are in LOCATION2 , Leicester Square , or LOCATION1 transit location , but also very expensive",0,1,,,110,,
1820,"LOCATION1 general - bit more older middle class rich area , very nice , not so many pubs and very expensive LOCATION2 - lovely villagey feel and close to the beautiful hampstea heath , bit further out",1,0,,,,1873,"Depends on your budget , if it 's tight then look at the LOCATION1 price , LOCATION2",0,1,,,111,,
1823,"LOCATION1 transit location - bit more older middle class rich area , very nice , not so many pubs and very expensive LOCATION2 - lovely villagey feel and close to the beautiful hampstea heath , bit further out",2,0,,,,1895,"Central London can be split into three main sections , the London , LOCATION2 , and LOCATION1 transit location",0,1,,,112,,
1871,"Obviously the best convenient places to stay are in LOCATION2 , Leicester Square , or LOCATION1 transit location , but also very expensive",0,1,,,,1907,LOCATION1 transit location is not the cheapest place to live but not too far to LOCATION2 which is much cheaper for accomodation,0,1,,,113,,
1873,"Depends on your budget , if it 's tight then look at the LOCATION1 price , LOCATION2",2,1,,,,1911,LOCATION2 is a brilliant place to live LOCATION1 transit location ( Northern Line on the Tube ) is a great location,1,0,,,115,,
1895,"Central London can be split into three main sections , the London , LOCATION2 , and LOCATION1 transit location",0,1,,,,1923,"For more affordable but still buzzing suburbs home to many working travellers , try LOCATION1 transit location , LOCATION2",0,1,,,#N/A,,
1907,LOCATION1 transit location is not the cheapest place to live but not too far to LOCATION2 which is much cheaper for accomodation,0,1,,,,1932,"if you 've got the opportunity for cheap or free accommodation there , then go for it LOCATION1 general is not necessarily the most sought-after area of London , it has got a very high south Asian population and loads of shops",1,2,,,117,,
1908,LOCATION2 is a brilliant place to live LOCATION1 general ( Northern Line on the Tube ) is a great location,0,1,,,,1933,"if you 've got the opportunity for cheap or free accommodation there , then go for it LOCATION1 price is not necessarily the most sought-after area of London , it has got a very high south Asian population and loads of shops",1,0,,,118,,
1911,LOCATION2 is a brilliant place to live LOCATION1 transit location ( Northern Line on the Tube ) is a great location,1,0,,,,1948,I would hardly consider LOCATION1 general to far out LOCATION2 is not an unsafe area,0,2,,,119,,
1912,You could go South of the river and look at LOCATION2 or LOCATION1 general both of which are in zones 1 and 2 and have good transport links,0,1,,,,1950,I would hardly consider LOCATION1 safety to far out LOCATION2 is not an unsafe area,1,0,,,120,,
1932,"if you 've got the opportunity for cheap or free accommodation there , then go for it LOCATION1 general is not necessarily the most sought-after area of London , it has got a very high south Asian population and loads of shops",0,2,,,,1986,"You 're right in that LOCATION2 , LOCATION1 safety , etc are very expensive , but most of the nice and safe places will be expensive too",1,0,,,122,,
1933,"if you 've got the opportunity for cheap or free accommodation there , then go for it LOCATION1 price is not necessarily the most sought-after area of London , it has got a very high south Asian population and loads of shops",1,0,,,,2012,"Further out , and a little less hip but still fun , are LOCATION2 ( south east ) and LOCATION1 general ( south west )",2,1,,,123,,
1948,I would hardly consider LOCATION1 general to far out LOCATION2 is not an unsafe area,0,2,,,,2015,"Further out , and a little less hip but still fun , are LOCATION2 ( south east ) and LOCATION1 transit location ( south west )",0,2,,,124,,
1950,I would hardly consider LOCATION1 safety to far out LOCATION2 is not an unsafe area,1,0,,,,2016,You could try researching LOCATION2 and places near it like LOCATION1 general,0,1,,,125,,
1979,"London LOCATION2 Airport has a dedicated rail line to LOCATION1 transit location Rail Station , and The Piccadilly line on the 'tube ' also goes to the Airport , that 's going to be the most easy way , it also has a bus service but I have never used it",1,0,,,,2036,"Anywhere around LOCATION1 general , LOCATION2 I 'd stay clear off especially after dark",0,2,,,126,,
1986,"You 're right in that LOCATION2 , LOCATION1 safety , etc are very expensive , but most of the nice and safe places will be expensive too",1,0,,,,2038,"Anywhere around LOCATION1 safety , LOCATION2 I 'd stay clear off especially after dark",0,2,,,127,,
2012,"Further out , and a little less hip but still fun , are LOCATION2 ( south east ) and LOCATION1 general ( south west )",2,1,,,,2049,LOCATION2 or LOCATION1 price if your wallet is big enough,0,2,,,#N/A,,
2015,"Further out , and a little less hip but still fun , are LOCATION2 ( south east ) and LOCATION1 transit location ( south west )",0,2,,,,2145,"Still , if you 're working on a budget then I still think that the LOCATION2 / LOCATION1 price area is your best bet",0,1,,,131,,
2016,You could try researching LOCATION2 and places near it like LOCATION1 general,0,1,,,,2148,Would not say LOCATION1 general or LOCATION2 less pleasant,2,1,,,132,,
2036,"Anywhere around LOCATION1 general , LOCATION2 I 'd stay clear off especially after dark",0,2,,,,2152,"LOCATION1 general is on the up , with Westfield and the Olympic Park new to the area it has seen regeneration",0,1,,,133,,
2038,"Anywhere around LOCATION1 safety , LOCATION2 I 'd stay clear off especially after dark",0,2,,,,2156,I like the London borough of LOCATION2 in the south and the LOCATION1 general in the north,0,1,,,134,,
2096,"LOCATION1 general has lots of good restaurants etc , and LOCATION2 is very nice",1,0,,,,2187,", LOCATION2 is quite isolated while LOCATION1 transit location has a street full of shops and amenities , but is quite small and does n't have a tube close",1,2,,,#N/A,,
2106,"The boroughs with the lowest crime statistics are outer southwest - LOCATION1 safety , LOCATION2",2,1,,,,2188,LOCATION1 general is great Tube/overground/THE COMMONS I have lived in LOCATION2 for 25 years and it 's now one the most safest places to live,1,0,,,137,,
