	id	sentence1	label	positions
162	1036	[SEP1] LOCATION1 safety [SEP2] is pretty good the high street has a good general selection of amenities , its safe ( its the most Jewish of London suburbs , and they are generally a quiet and peaceful bunch ) and it has good transport connections	Positive	0 2 
163	1036	[SEP1] LOCATION1 transit location [SEP2] is pretty good the high street has a good general selection of amenities , its safe ( its the most Jewish of London suburbs , and they are generally a quiet and peaceful bunch ) and it has good transport connections	Positive	0 2 3 
164	1037	Yes [SEP1] LOCATION1 general [SEP2] is okay	Positive	1 3 
165	1037	Yes [SEP1] LOCATION1 price [SEP2] is okay	None	1 3 
166	1037	Yes [SEP1] LOCATION1 safety [SEP2] is okay	None	1 3 
167	1037	Yes [SEP1] LOCATION1 transit location [SEP2] is okay	None	1 3 4 
168	1038	Have a look at this link and you 'll see what I 'm talking about : Most younger people like to live nearer the London , so in Zones 2 or 3 . If you live in a not so nice area of Zone 2 ( eg LOCATION2 ) you could rent a decent 2 bed for around 900 per month , but if you wanted to live in a good area of Zone 2 ( eg [SEP1] LOCATION1 general [SEP2] ) you 'd probably be paying double that at least Have a look at websites such as gumtree	None	77 79 
169	1038	Have a look at this link and you 'll see what I 'm talking about : Most younger people like to live nearer the London , so in Zones 2 or 3 . If you live in a not so nice area of Zone 2 ( eg LOCATION2 ) you could rent a decent 2 bed for around 900 per month , but if you wanted to live in a good area of Zone 2 ( eg [SEP1] LOCATION1 price [SEP2] ) you 'd probably be paying double that at least Have a look at websites such as gumtree	None	77 79 
170	1038	Have a look at this link and you 'll see what I 'm talking about : Most younger people like to live nearer the London , so in Zones 2 or 3 . If you live in a not so nice area of Zone 2 ( eg LOCATION2 ) you could rent a decent 2 bed for around 900 per month , but if you wanted to live in a good area of Zone 2 ( eg [SEP1] LOCATION1 safety [SEP2] ) you 'd probably be paying double that at least Have a look at websites such as gumtree	None	77 79 
171	1038	Have a look at this link and you 'll see what I 'm talking about : Most younger people like to live nearer the London , so in Zones 2 or 3 . If you live in a not so nice area of Zone 2 ( eg LOCATION2 ) you could rent a decent 2 bed for around 900 per month , but if you wanted to live in a good area of Zone 2 ( eg [SEP1] LOCATION1 transit location [SEP2] ) you 'd probably be paying double that at least Have a look at websites such as gumtree	None	77 79 80 
172	1039	May I suggest you look at [SEP1] LOCATION1 general [SEP2]	Positive	6 8 
173	1039	May I suggest you look at [SEP1] LOCATION1 price [SEP2]	None	6 8 
174	1039	May I suggest you look at [SEP1] LOCATION1 safety [SEP2]	None	6 8 
175	1039	May I suggest you look at [SEP1] LOCATION1 transit location [SEP2]	None	6 8 9 
176	103	My husband was born and educated in [SEP1] LOCATION1 general [SEP2] - I was n't born there , but moved out of London and received my secondary ed	None	7 9 
177	103	My husband was born and educated in [SEP1] LOCATION1 price [SEP2] - I was n't born there , but moved out of London and received my secondary ed	None	7 9 
178	103	My husband was born and educated in [SEP1] LOCATION1 safety [SEP2] - I was n't born there , but moved out of London and received my secondary ed	None	7 9 
179	103	My husband was born and educated in [SEP1] LOCATION1 transit location [SEP2] - I was n't born there , but moved out of London and received my secondary ed	None	7 9 10 
180	1040	I 'm in touch with a very nice family , but they live in [SEP1] LOCATION1 general [SEP2] and this is the zone 4 of the London	None	14 16 
181	1040	I 'm in touch with a very nice family , but they live in [SEP1] LOCATION1 price [SEP2] and this is the zone 4 of the London	None	14 16 
182	1040	I 'm in touch with a very nice family , but they live in [SEP1] LOCATION1 safety [SEP2] and this is the zone 4 of the London	None	14 16 
183	1040	I 'm in touch with a very nice family , but they live in [SEP1] LOCATION1 transit location [SEP2] and this is the zone 4 of the London	None	14 16 17 
184	1041	I ca n't imagine that someone in e g [SEP1] LOCATION1 general [SEP2] would think it worthwhile to go all the way to e g LOCATION2 to swim	None	9 11 
185	1041	I ca n't imagine that someone in e g [SEP1] LOCATION1 price [SEP2] would think it worthwhile to go all the way to e g LOCATION2 to swim	None	9 11 
186	1041	I ca n't imagine that someone in e g [SEP1] LOCATION1 safety [SEP2] would think it worthwhile to go all the way to e g LOCATION2 to swim	None	9 11 
187	1041	I ca n't imagine that someone in e g [SEP1] LOCATION1 transit location [SEP2] would think it worthwhile to go all the way to e g LOCATION2 to swim	None	9 11 12 
188	1042	[SEP1] LOCATION1 general [SEP2] is quite a long way out and is expensive	None	0 2 
189	1042	[SEP1] LOCATION1 price [SEP2] is quite a long way out and is expensive	Negative	0 2 
190	1042	[SEP1] LOCATION1 safety [SEP2] is quite a long way out and is expensive	None	0 2 
191	1042	[SEP1] LOCATION1 transit location [SEP2] is quite a long way out and is expensive	Negative	0 2 3 
192	1043	You then go back to your hotel realising it was a big mistake and you should have spent a day in [SEP1] LOCATION1 general [SEP2] instead	None	21 23 
193	1043	You then go back to your hotel realising it was a big mistake and you should have spent a day in [SEP1] LOCATION1 price [SEP2] instead	None	21 23 
194	1043	You then go back to your hotel realising it was a big mistake and you should have spent a day in [SEP1] LOCATION1 safety [SEP2] instead	None	21 23 
195	1043	You then go back to your hotel realising it was a big mistake and you should have spent a day in [SEP1] LOCATION1 transit location [SEP2] instead	None	21 23 24 
196	1044	For example ; I live in [SEP1] LOCATION1 general [SEP2] but I always say LOCATION2	None	6 8 
197	1044	For example ; I live in [SEP1] LOCATION1 price [SEP2] but I always say LOCATION2	None	6 8 
198	1044	For example ; I live in [SEP1] LOCATION1 safety [SEP2] but I always say LOCATION2	None	6 8 
199	1044	For example ; I live in [SEP1] LOCATION1 transit location [SEP2] but I always say LOCATION2	None	6 8 9 
200	1045	If you go by tube then West [SEP1] LOCATION1 general [SEP2] is nice	Positive	7 9 
201	1045	If you go by tube then West [SEP1] LOCATION1 price [SEP2] is nice	None	7 9 
202	1045	If you go by tube then West [SEP1] LOCATION1 safety [SEP2] is nice	None	7 9 
203	1045	If you go by tube then West [SEP1] LOCATION1 transit location [SEP2] is nice	None	7 9 10 
204	1046	On the Kent side there is [SEP1] LOCATION1 general [SEP2]	None	6 8 
205	1046	On the Kent side there is [SEP1] LOCATION1 price [SEP2]	None	6 8 
206	1046	On the Kent side there is [SEP1] LOCATION1 safety [SEP2]	None	6 8 
207	1046	On the Kent side there is [SEP1] LOCATION1 transit location [SEP2]	None	6 8 9 
208	1047	Its London : London , borough : [SEP1] LOCATION1 general [SEP2] , area : LOCATION2	None	7 9 
209	1047	Its London : London , borough : [SEP1] LOCATION1 price [SEP2] , area : LOCATION2	None	7 9 
210	1047	Its London : London , borough : [SEP1] LOCATION1 safety [SEP2] , area : LOCATION2	None	7 9 
211	1047	Its London : London , borough : [SEP1] LOCATION1 transit location [SEP2] , area : LOCATION2	None	7 9 10 
212	1048	Do n't even think about driving If working in [SEP1] LOCATION1 general [SEP2]	None	9 11 
213	1048	Do n't even think about driving If working in [SEP1] LOCATION1 price [SEP2]	None	9 11 
214	1048	Do n't even think about driving If working in [SEP1] LOCATION1 safety [SEP2]	None	9 11 
215	1048	Do n't even think about driving If working in [SEP1] LOCATION1 transit location [SEP2]	Negative	9 11 12 
216	1049	[SEP1] LOCATION1 general [SEP2] is the place for you	Positive	0 2 
217	1049	[SEP1] LOCATION1 price [SEP2] is the place for you	None	0 2 
218	1049	[SEP1] LOCATION1 safety [SEP2] is the place for you	None	0 2 
219	1049	[SEP1] LOCATION1 transit location [SEP2] is the place for you	None	0 2 3 
220	104	[SEP1] LOCATION1 general [SEP2] is on the Metropolitan Line of the Underground ; the trains are frequent and take 35 minutes to LOCATION1	None	0 2 
221	104	[SEP1] LOCATION1 price [SEP2] is on the Metropolitan Line of the Underground ; the trains are frequent and take 35 minutes to LOCATION1	None	0 2 
222	104	[SEP1] LOCATION1 safety [SEP2] is on the Metropolitan Line of the Underground ; the trains are frequent and take 35 minutes to LOCATION1	None	0 2 
223	104	[SEP1] LOCATION1 transit location [SEP2] is on the Metropolitan Line of the Underground ; the trains are frequent and take 35 minutes to LOCATION1	Positive	0 2 3 
224	1050	At the heart of London is [SEP1] LOCATION1 general [SEP2] area which is in accessible proximity to Buckingham Palace	None	6 8 
225	1050	At the heart of London is [SEP1] LOCATION1 price [SEP2] area which is in accessible proximity to Buckingham Palace	None	6 8 
226	1050	At the heart of London is [SEP1] LOCATION1 safety [SEP2] area which is in accessible proximity to Buckingham Palace	None	6 8 
227	1050	At the heart of London is [SEP1] LOCATION1 transit location [SEP2] area which is in accessible proximity to Buckingham Palace	Positive	6 8 9 
228	1051	( highly recommended ) [SEP1] LOCATION1 general [SEP2]	Positive	4 6 
229	1051	( highly recommended ) [SEP1] LOCATION1 price [SEP2]	None	4 6 
230	1051	( highly recommended ) [SEP1] LOCATION1 safety [SEP2]	None	4 6 
231	1051	( highly recommended ) [SEP1] LOCATION1 transit location [SEP2]	None	4 6 7 
232	1052	In LOCATION2 [SEP1] LOCATION1 general [SEP2] has some nice streets	Positive	2 4 
