Sum of label_val	Column Labels								
Row Labels	LOCATION1#general	LOCATION1#price	LOCATION1#safety	LOCATION1#transit	LOCATION2#general	LOCATION2#price	LOCATION2#safety	LOCATION2#transit	Grand Total
Look at somewhere like LOCATION2 which is about half an hour from  LOCATION1 price  so mabye if you have to travel at the other and and in Central London it may take an hour ( without delays )		0							0
Look at somewhere like LOCATION2 which is about half an hour from  LOCATION1 safety  so mabye if you have to travel at the other and and in Central London it may take an hour ( without delays )			0						0
Look at somewhere like LOCATION2 which is about half an hour from  LOCATION1 transit location  so mabye if you have to travel at the other and and in Central London it may take an hour ( without delays )				0					0
9	1	0	0	0					1
i used to live all over  LOCATION1 general  and for me it was perfect	1								1
i used to live all over  LOCATION1 price  and for me it was perfect		0							0
i used to live all over  LOCATION1 safety  and for me it was perfect			0						0
i used to live all over  LOCATION1 transit location  and for me it was perfect				0					0
10	-1	0	0	0					-1
steer clear of  LOCATION1 general 	-1								-1
steer clear of  LOCATION1 price 		0							0
steer clear of  LOCATION1 safety 			0						0
steer clear of  LOCATION1 transit location 				0					0
11	1	0	0	0					1
can recommend  LOCATION1 general  in South London	1								1
can recommend  LOCATION1 price  in South London		0							0
can recommend  LOCATION1 safety  in South London			0						0
can recommend  LOCATION1 transit location  in South London				0					0
12	0	0	0	0					0
The shopping in  LOCATION1 general  has always been good	0								0
The shopping in  LOCATION1 price  has always been good		0							0
The shopping in  LOCATION1 safety  has always been good			0						0
The shopping in  LOCATION1 transit location  has always been good				0					0
13	1	0	0	0					1
 LOCATION1 general  is in my opinion is alot nicer than LOCATION1	1								1
 LOCATION1 price  is in my opinion is alot nicer than LOCATION1		0							0
 LOCATION1 safety  is in my opinion is alot nicer than LOCATION1			0						0
 LOCATION1 transit location  is in my opinion is alot nicer than LOCATION1				0					0
14	1	-1	0	0					0
i come from same area as david and have to agree if going to live in suburbia then  LOCATION1 general  area is good but EXPENSIVE	1								1
i come from same area as david and have to agree if going to live in suburbia then  LOCATION1 price  area is good but EXPENSIVE		-1							-1
i come from same area as david and have to agree if going to live in suburbia then  LOCATION1 safety  area is good but EXPENSIVE			0						0
i come from same area as david and have to agree if going to live in suburbia then  LOCATION1 transit location  area is good but EXPENSIVE				0					0
15	0	0	0	0					0
" LOCATION1 general  , where there is an enormous Westfield shopping centre"	0								0
" LOCATION1 price  , where there is an enormous Westfield shopping centre"		0							0
" LOCATION1 safety  , where there is an enormous Westfield shopping centre"			0						0
" LOCATION1 transit location  , where there is an enormous Westfield shopping centre"				0					0
16	0	0	0	0					0
it depends where in  LOCATION1 general  your going to live as there are some council astates there i would not live in	0								0
it depends where in  LOCATION1 price  your going to live as there are some council astates there i would not live in		0							0
it depends where in  LOCATION1 safety  your going to live as there are some council astates there i would not live in			0						0
it depends where in  LOCATION1 transit location  your going to live as there are some council astates there i would not live in				0					0
17	0	0	0	0					0
None  LOCATION1 general 	0								0
None  LOCATION1 price 		0							0
None  LOCATION1 safety 			0						0
None  LOCATION1 transit location 				0					0
18	0	0	0	0					0
It 's in  LOCATION1 general 	0								0
It 's in  LOCATION1 price 		0							0
It 's in  LOCATION1 safety 			0						0
It 's in  LOCATION1 transit location 				0					0
19	0	0	-1	0					-1
 LOCATION1 general  is not safe 100x 100 but is very nice restaurant cofe ' shop and park	0								0
 LOCATION1 price  is not safe 100x 100 but is very nice restaurant cofe ' shop and park		0							0
 LOCATION1 safety  is not safe 100x 100 but is very nice restaurant cofe ' shop and park			-1						-1
 LOCATION1 transit location  is not safe 100x 100 but is very nice restaurant cofe ' shop and park				0					0
20	0	0	0	0					0
nw 5 .  LOCATION1 general 	0								0
nw 5 .  LOCATION1 price 		0							0
nw 5 .  LOCATION1 safety 			0						0
nw 5 .  LOCATION1 transit location 				0					0
21	0	0	0	0					0
North of the river Thames from the river Lea in the east to the river Colne in the west was the county of  LOCATION1 general 	0								0
North of the river Thames from the river Lea in the east to the river Colne in the west was the county of  LOCATION1 price 		0							0
North of the river Thames from the river Lea in the east to the river Colne in the west was the county of  LOCATION1 safety 			0						0
North of the river Thames from the river Lea in the east to the river Colne in the west was the county of  LOCATION1 transit location 				0					0
22	0	0	0	-1					-1
The only downside is that the railway connections from  LOCATION1 general  to London follow slow and often indirect lines	0								0
The only downside is that the railway connections from  LOCATION1 price  to London follow slow and often indirect lines		0							0
The only downside is that the railway connections from  LOCATION1 safety  to London follow slow and often indirect lines			0						0
The only downside is that the railway connections from  LOCATION1 transit location  to London follow slow and often indirect lines				-1					-1
23	0	0	0	0					0
 LOCATION1 general  area will offer you some idea of prices	0								0
 LOCATION1 price  area will offer you some idea of prices		0							0
 LOCATION1 safety  area will offer you some idea of prices			0						0
 LOCATION1 transit location  area will offer you some idea of prices				0					0
24	0	0	0	1					1
" LOCATION1 general  is quite industrial but has good transport links and many new flats being built , it lacks soul but it attracting new professionals due to the amenities and convenience"	0								0
" LOCATION1 price  is quite industrial but has good transport links and many new flats being built , it lacks soul but it attracting new professionals due to the amenities and convenience"		0							0
" LOCATION1 safety  is quite industrial but has good transport links and many new flats being built , it lacks soul but it attracting new professionals due to the amenities and convenience"			0						0
" LOCATION1 transit location  is quite industrial but has good transport links and many new flats being built , it lacks soul but it attracting new professionals due to the amenities and convenience"				1					1
25	0	1	0	0					1
 LOCATION1 general  would be the cheapest area to rent out of your list I like all the areas you listed	0								0
 LOCATION1 price  would be the cheapest area to rent out of your list I like all the areas you listed		1							1
 LOCATION1 safety  would be the cheapest area to rent out of your list I like all the areas you listed			0						0
 LOCATION1 transit location  would be the cheapest area to rent out of your list I like all the areas you listed				0					0
26	0	0	0	0	0	0	0	0	0
"From  LOCATION1 general  ( at the Trafalgar Square end of the LOCATION2 ) you can cross the Thames on the Hungerford foot bridge and stroll along the banks ; there 's also the London Eye there , but you 'd probably need more time to get tickets and take a flight on it"	0								0
"From  LOCATION1 price  ( at the Trafalgar Square end of the LOCATION2 ) you can cross the Thames on the Hungerford foot bridge and stroll along the banks ; there 's also the London Eye there , but you 'd probably need more time to get tickets and take a flight on it"		0							0
"From  LOCATION1 safety  ( at the Trafalgar Square end of the LOCATION2 ) you can cross the Thames on the Hungerford foot bridge and stroll along the banks ; there 's also the London Eye there , but you 'd probably need more time to get tickets and take a flight on it"			0						0
"From  LOCATION1 transit location  ( at the Trafalgar Square end of the LOCATION2 ) you can cross the Thames on the Hungerford foot bridge and stroll along the banks ; there 's also the London Eye there , but you 'd probably need more time to get tickets and take a flight on it"				0					0
"From LOCATION1 ( at the Trafalgar Square end of the  LOCATION2 general  ) you can cross the Thames on the Hungerford foot bridge and stroll along the banks ; there 's also the London Eye there , but you 'd probably need more time to get tickets and take a flight on it"					0				0
"From LOCATION1 ( at the Trafalgar Square end of the  LOCATION2 price  ) you can cross the Thames on the Hungerford foot bridge and stroll along the banks ; there 's also the London Eye there , but you 'd probably need more time to get tickets and take a flight on it"						0			0
"From LOCATION1 ( at the Trafalgar Square end of the  LOCATION2 safety  ) you can cross the Thames on the Hungerford foot bridge and stroll along the banks ; there 's also the London Eye there , but you 'd probably need more time to get tickets and take a flight on it"							0		0
"From LOCATION1 ( at the Trafalgar Square end of the  LOCATION2 transit location  ) you can cross the Thames on the Hungerford foot bridge and stroll along the banks ; there 's also the London Eye there , but you 'd probably need more time to get tickets and take a flight on it"								0	0
27	-1	-1	0	0					-2
Avoid  LOCATION1 general  - it 's super pricey	-1								-1
Avoid  LOCATION1 price  - it 's super pricey		-1							-1
Avoid  LOCATION1 safety  - it 's super pricey			0						0
Avoid  LOCATION1 transit location  - it 's super pricey				0					0
28	-1	0	0	0					-1
Avoid  LOCATION1 general  unless you are totally hardcore	-1								-1
Avoid  LOCATION1 price  unless you are totally hardcore		0							0
Avoid  LOCATION1 safety  unless you are totally hardcore			0						0
Avoid  LOCATION1 transit location  unless you are totally hardcore				0					0
29	0	0	0	0					0
I would suggest the best place to live is  LOCATION1 general  in south London	0								0
I would suggest the best place to live is  LOCATION1 price  in south London		0							0
I would suggest the best place to live is  LOCATION1 safety  in south London			0						0
I would suggest the best place to live is  LOCATION1 transit location  in south London				0					0
30	1	0	0	0					1
"The stereotype is an old one of  LOCATION1 general  , the area is very trendy now"	1								1
"The stereotype is an old one of  LOCATION1 price  , the area is very trendy now"		0							0
"The stereotype is an old one of  LOCATION1 safety  , the area is very trendy now"			0						0
"The stereotype is an old one of  LOCATION1 transit location  , the area is very trendy now"				0					0
31	0	0	0	0					0
 LOCATION1 general  has lots of nice shops and restaurants	0								0
 LOCATION1 price  has lots of nice shops and restaurants		0							0
 LOCATION1 safety  has lots of nice shops and restaurants			0						0
 LOCATION1 transit location  has lots of nice shops and restaurants				0					0
32	0	0	0	1					1
At least  LOCATION1 general  has a tube	0								0
At least  LOCATION1 price  has a tube		0							0
At least  LOCATION1 safety  has a tube			0						0
At least  LOCATION1 transit location  has a tube				1					1
33	0	0	0	0	0	0	0	0	0
Then it 's a journey between zones 2 and 3 . If travel between  LOCATION1 general  and LOCATION2 ( Z4 )	0								0
Then it 's a journey between zones 2 and 3 . If travel between  LOCATION1 price  and LOCATION2 ( Z4 )		0							0
Then it 's a journey between zones 2 and 3 . If travel between  LOCATION1 safety  and LOCATION2 ( Z4 )			0						0
Then it 's a journey between zones 2 and 3 . If travel between  LOCATION1 transit location  and LOCATION2 ( Z4 )				0					0
Then it 's a journey between zones 2 and 3 . If travel between LOCATION1 and  LOCATION2 general  ( Z4 )					0				0
Then it 's a journey between zones 2 and 3 . If travel between LOCATION1 and  LOCATION2 price  ( Z4 )						0			0
Then it 's a journey between zones 2 and 3 . If travel between LOCATION1 and  LOCATION2 safety  ( Z4 )							0		0
Then it 's a journey between zones 2 and 3 . If travel between LOCATION1 and  LOCATION2 transit location  ( Z4 )								0	0
34	0	-1	0	0					-1
And  LOCATION1 general  is certainly overpriced ( although where isnt in London	0								0
And  LOCATION1 price  is certainly overpriced ( although where isnt in London		-1							-1
And  LOCATION1 safety  is certainly overpriced ( although where isnt in London			0						0
And  LOCATION1 transit location  is certainly overpriced ( although where isnt in London				0					0
35	-1	1	0	0					0
 LOCATION1 general  is very cheap compared to any where else but I have been warned not to go there	-1								-1
 LOCATION1 price  is very cheap compared to any where else but I have been warned not to go there		1							1
 LOCATION1 safety  is very cheap compared to any where else but I have been warned not to go there			0						0
 LOCATION1 transit location  is very cheap compared to any where else but I have been warned not to go there				0					0
36	0	0	0	0					0
"Then I decided to phone the  LOCATION1 general  Local Studies Library , 020 79746342 , that was coming up with the message that the phone number was out of service"	0								0
"Then I decided to phone the  LOCATION1 price  Local Studies Library , 020 79746342 , that was coming up with the message that the phone number was out of service"		0							0
"Then I decided to phone the  LOCATION1 safety  Local Studies Library , 020 79746342 , that was coming up with the message that the phone number was out of service"			0						0
"Then I decided to phone the  LOCATION1 transit location  Local Studies Library , 020 79746342 , that was coming up with the message that the phone number was out of service"				0					0
37	0	0	0	1					1
 LOCATION1 general  has a large Asian / Indian community which makes it a colourful interesting area with lots of world food on show in the markets as well as being handy for the Northern Line tube	0								0
 LOCATION1 price  has a large Asian / Indian community which makes it a colourful interesting area with lots of world food on show in the markets as well as being handy for the Northern Line tube		0							0
 LOCATION1 safety  has a large Asian / Indian community which makes it a colourful interesting area with lots of world food on show in the markets as well as being handy for the Northern Line tube			0						0
 LOCATION1 transit location  has a large Asian / Indian community which makes it a colourful interesting area with lots of world food on show in the markets as well as being handy for the Northern Line tube				1					1
38	0	1	0	0					1
 LOCATION1 general  is also slightly cheaper	0								0
 LOCATION1 price  is also slightly cheaper		1							1
 LOCATION1 safety  is also slightly cheaper			0						0
 LOCATION1 transit location  is also slightly cheaper				0					0
39	0	0	0	0					0
"This is on the top of  LOCATION1 general  Hill and you may well see the teachers going from building to building in their black gowns , and the boys in their straw hats"	0								0
"This is on the top of  LOCATION1 price  Hill and you may well see the teachers going from building to building in their black gowns , and the boys in their straw hats"		0							0
"This is on the top of  LOCATION1 safety  Hill and you may well see the teachers going from building to building in their black gowns , and the boys in their straw hats"			0						0
"This is on the top of  LOCATION1 transit location  Hill and you may well see the teachers going from building to building in their black gowns , and the boys in their straw hats"				0					0
40	0	0	-1	0					-1
"Just looking briefly , it shows me that the closer to the centre , the more dangerous the area , with  LOCATION1 general  having the most crime"	0								0
"Just looking briefly , it shows me that the closer to the centre , the more dangerous the area , with  LOCATION1 price  having the most crime"		0							0
"Just looking briefly , it shows me that the closer to the centre , the more dangerous the area , with  LOCATION1 safety  having the most crime"			-1						-1
"Just looking briefly , it shows me that the closer to the centre , the more dangerous the area , with  LOCATION1 transit location  having the most crime"				0					0
41	1	0	0	0					1
"there are some cool places in  LOCATION1 general  , too"	1								1
"there are some cool places in  LOCATION1 price  , too"		0							0
"there are some cool places in  LOCATION1 safety  , too"			0						0
"there are some cool places in  LOCATION1 transit location  , too"				0					0
42	0	0	0	0					0
There is  LOCATION1 general  close by with good nightlife and opportunities	0								0
There is  LOCATION1 price  close by with good nightlife and opportunities		0							0
There is  LOCATION1 safety  close by with good nightlife and opportunities			0						0
There is  LOCATION1 transit location  close by with good nightlife and opportunities				0					0
43	1	0	0	0					1
"No ,  LOCATION1 general  is a lovely place"	1								1
"No ,  LOCATION1 price  is a lovely place"		0							0
"No ,  LOCATION1 safety  is a lovely place"			0						0
"No ,  LOCATION1 transit location  is a lovely place"				0					0
44	1	-1	0	0					0
 LOCATION1 general  is nice but a bit pricey	1								1
 LOCATION1 price  is nice but a bit pricey		-1							-1
 LOCATION1 safety  is nice but a bit pricey			0						0
 LOCATION1 transit location  is nice but a bit pricey				0					0
45	0	0	0	-1					-1
"'' Similarly neither has the jubilee line which means the odd time you end up going half way round the world just to go two stops , making the  LOCATION1 general  seem a bit cut off at times"	0								0
"'' Similarly neither has the jubilee line which means the odd time you end up going half way round the world just to go two stops , making the  LOCATION1 price  seem a bit cut off at times"		0							0
"'' Similarly neither has the jubilee line which means the odd time you end up going half way round the world just to go two stops , making the  LOCATION1 safety  seem a bit cut off at times"			0						0
"'' Similarly neither has the jubilee line which means the odd time you end up going half way round the world just to go two stops , making the  LOCATION1 transit location  seem a bit cut off at times"				-1					-1
46	0	0	0	0					0
Even  LOCATION1 general  was in Surrey once Same with lots of places Is in Greater London and has a SURREY address	0								0
Even  LOCATION1 price  was in Surrey once Same with lots of places Is in Greater London and has a SURREY address		0							0
Even  LOCATION1 safety  was in Surrey once Same with lots of places Is in Greater London and has a SURREY address			0						0
Even  LOCATION1 transit location  was in Surrey once Same with lots of places Is in Greater London and has a SURREY address				0					0
47	0	0	0	0					0
"You have  LOCATION1 general  Grounds to walk around in , and are close to the river with nice pubs"	0								0
"You have  LOCATION1 price  Grounds to walk around in , and are close to the river with nice pubs"		0							0
"You have  LOCATION1 safety  Grounds to walk around in , and are close to the river with nice pubs"			0						0
"You have  LOCATION1 transit location  Grounds to walk around in , and are close to the river with nice pubs"				0					0
48	1	0	0	0					1
 LOCATION1 general  is known for having a great culture vibe	1								1
 LOCATION1 price  is known for having a great culture vibe		0							0
 LOCATION1 safety  is known for having a great culture vibe			0						0
 LOCATION1 transit location  is known for having a great culture vibe				0					0
49	0	0	1	0					1
 LOCATION1 general  is a mainly Indian area but it very safe - lots of families with children	0								0
 LOCATION1 price  is a mainly Indian area but it very safe - lots of families with children		0							0
 LOCATION1 safety  is a mainly Indian area but it very safe - lots of families with children			1						1
 LOCATION1 transit location  is a mainly Indian area but it very safe - lots of families with children				0					0
50	0	0	0	0					0
Next to me in  LOCATION1 general  acne towers	0								0
Next to me in  LOCATION1 price  acne towers		0							0
Next to me in  LOCATION1 safety  acne towers			0						0
Next to me in  LOCATION1 transit location  acne towers				0					0
51	0	0	0	0					0
I would rather live in  LOCATION1 general 	0								0
I would rather live in  LOCATION1 price 		0							0
I would rather live in  LOCATION1 safety 			0						0
I would rather live in  LOCATION1 transit location 				0					0
52	0	0	0	0	0	0	0	0	0
"Tube : Russel Square ,  LOCATION2 general  , LOCATION1 , Goodge Street Come and see our loot"					0				0
"Tube : Russel Square ,  LOCATION2 price  , LOCATION1 , Goodge Street Come and see our loot"						0			0
"Tube : Russel Square ,  LOCATION2 safety  , LOCATION1 , Goodge Street Come and see our loot"							0		0
"Tube : Russel Square ,  LOCATION2 transit location  , LOCATION1 , Goodge Street Come and see our loot"								0	0
"Tube : Russel Square , LOCATION2 ,  LOCATION1 general  , Goodge Street Come and see our loot"	0								0
"Tube : Russel Square , LOCATION2 ,  LOCATION1 price  , Goodge Street Come and see our loot"		0							0
"Tube : Russel Square , LOCATION2 ,  LOCATION1 safety  , Goodge Street Come and see our loot"			0						0
"Tube : Russel Square , LOCATION2 ,  LOCATION1 transit location  , Goodge Street Come and see our loot"				0					0
53	0	0	-1	0					-1
"Having lived in  LOCATION1 general  , I think you 'll need to stay away from the dodgier parts of it , where crime prob is rife"	0								0
"Having lived in  LOCATION1 price  , I think you 'll need to stay away from the dodgier parts of it , where crime prob is rife"		0							0
"Having lived in  LOCATION1 safety  , I think you 'll need to stay away from the dodgier parts of it , where crime prob is rife"			-1						-1
"Having lived in  LOCATION1 transit location  , I think you 'll need to stay away from the dodgier parts of it , where crime prob is rife"				0					0
54	0	0	0	0					0
 LOCATION1 general  tube station	0								0
 LOCATION1 price  tube station		0							0
 LOCATION1 safety  tube station			0						0
 LOCATION1 transit location  tube station				0					0
55	0	0	0	0	0	0	0	0	0
"The London borough of  LOCATION1 general  ( pronunciation ( helpinfo ) ) is a London borough of LOCATION2 , England and forms part of Outer London and is one of the 32 London Boroughs ( plus the London ) which forms part of Greater London"	0								0
"The London borough of  LOCATION1 price  ( pronunciation ( helpinfo ) ) is a London borough of LOCATION2 , England and forms part of Outer London and is one of the 32 London Boroughs ( plus the London ) which forms part of Greater London"		0							0
"The London borough of  LOCATION1 safety  ( pronunciation ( helpinfo ) ) is a London borough of LOCATION2 , England and forms part of Outer London and is one of the 32 London Boroughs ( plus the London ) which forms part of Greater London"			0						0
"The London borough of  LOCATION1 transit location  ( pronunciation ( helpinfo ) ) is a London borough of LOCATION2 , England and forms part of Outer London and is one of the 32 London Boroughs ( plus the London ) which forms part of Greater London"				0					0
"The London borough of LOCATION1 ( pronunciation ( helpinfo ) ) is a London borough of  LOCATION2 general  , England and forms part of Outer London and is one of the 32 London Boroughs ( plus the London ) which forms part of Greater London"					0				0
"The London borough of LOCATION1 ( pronunciation ( helpinfo ) ) is a London borough of  LOCATION2 price  , England and forms part of Outer London and is one of the 32 London Boroughs ( plus the London ) which forms part of Greater London"						0			0
"The London borough of LOCATION1 ( pronunciation ( helpinfo ) ) is a London borough of  LOCATION2 safety  , England and forms part of Outer London and is one of the 32 London Boroughs ( plus the London ) which forms part of Greater London"							0		0
"The London borough of LOCATION1 ( pronunciation ( helpinfo ) ) is a London borough of  LOCATION2 transit location  , England and forms part of Outer London and is one of the 32 London Boroughs ( plus the London ) which forms part of Greater London"								0	0
56	0	-1	0	0					-1
"you wo n't meet many scary poor people there  LOCATION1 general  is a posh area , unlike where i am"	0								0
"you wo n't meet many scary poor people there  LOCATION1 price  is a posh area , unlike where i am"		-1							-1
"you wo n't meet many scary poor people there  LOCATION1 safety  is a posh area , unlike where i am"			0						0
"you wo n't meet many scary poor people there  LOCATION1 transit location  is a posh area , unlike where i am"				0					0
57	0	0	0	0					0
errm yeah I live in  LOCATION1 general  and have NEVeR heard of such place lol Perhaps you need to check your info	0								0
errm yeah I live in  LOCATION1 price  and have NEVeR heard of such place lol Perhaps you need to check your info		0							0
errm yeah I live in  LOCATION1 safety  and have NEVeR heard of such place lol Perhaps you need to check your info			0						0
errm yeah I live in  LOCATION1 transit location  and have NEVeR heard of such place lol Perhaps you need to check your info				0					0
58	0	0	0	1					1
 LOCATION1 general  is well connected by bus and LOCATION1 is close by	0								0
 LOCATION1 price  is well connected by bus and LOCATION1 is close by		0							0
 LOCATION1 safety  is well connected by bus and LOCATION1 is close by			0						0
 LOCATION1 transit location  is well connected by bus and LOCATION1 is close by				1					1
59	0	0	0	0					0
"Do all the walking tours about ghosts and Jack the Ripper ,  LOCATION1 general  area , you get real stories about London and famous people that live there too"	0								0
"Do all the walking tours about ghosts and Jack the Ripper ,  LOCATION1 price  area , you get real stories about London and famous people that live there too"		0							0
"Do all the walking tours about ghosts and Jack the Ripper ,  LOCATION1 safety  area , you get real stories about London and famous people that live there too"			0						0
"Do all the walking tours about ghosts and Jack the Ripper ,  LOCATION1 transit location  area , you get real stories about London and famous people that live there too"				0					0
60	0	0	0	0					0
Tube stop is  LOCATION1 general 	0								0
Tube stop is  LOCATION1 price 		0							0
Tube stop is  LOCATION1 safety 			0						0
Tube stop is  LOCATION1 transit location 				0					0
61	0	0	0	0					0
I really like  LOCATION1 general  I lived there for 3 months and had a lot of fun	0								0
I really like  LOCATION1 price  I lived there for 3 months and had a lot of fun		0							0
I really like  LOCATION1 safety  I lived there for 3 months and had a lot of fun			0						0
I really like  LOCATION1 transit location  I lived there for 3 months and had a lot of fun				0					0
62	1	-1	0	0					0
"Otherwise maybe  LOCATION1 general  - really nice , but maybe out of your budget"	1								1
"Otherwise maybe  LOCATION1 price  - really nice , but maybe out of your budget"		-1							-1
"Otherwise maybe  LOCATION1 safety  - really nice , but maybe out of your budget"			0						0
"Otherwise maybe  LOCATION1 transit location  - really nice , but maybe out of your budget"				0					0
63	-1	0	-1	0					-2
"Avoid  LOCATION1 general  - it 's dirty , dangerous and grim"	-1								-1
"Avoid  LOCATION1 price  - it 's dirty , dangerous and grim"		0							0
"Avoid  LOCATION1 safety  - it 's dirty , dangerous and grim"			-1						-1
"Avoid  LOCATION1 transit location  - it 's dirty , dangerous and grim"				0					0
64	0	-1	0	0					-1
"If you do n't have a lot of budget , you could flat share in  LOCATION1 general  as it is quite expensive"	0								0
"If you do n't have a lot of budget , you could flat share in  LOCATION1 price  as it is quite expensive"		-1							-1
"If you do n't have a lot of budget , you could flat share in  LOCATION1 safety  as it is quite expensive"			0						0
"If you do n't have a lot of budget , you could flat share in  LOCATION1 transit location  as it is quite expensive"				0					0
65	1	0	1	0					2
