Row Labels,LOCATION1#general,LOCATION1#price,LOCATION1#safety,LOCATION1#transit,LOCATION2#general,LOCATION2#price,LOCATION2#safety,LOCATION2#transit
you could get the train to  LOCATION1   station,0,0,0,1,,,,
you could consider  LOCATION1   is a mix of culture etc You 'll find a lot of different people there,0,0,0,0,,,,
You could also visit the O2 centre at  LOCATION1   if you have time that has a music exhibition and loads of restaurants,0,0,0,0,,,,
"you could also try  LOCATION1   , tho its certainly a bit posher-boho",0,-1,0,0,,,,
You could also look at LOCATION2 or  LOCATION1  ,1,0,0,0,,,,
You could also look at  LOCATION2   or LOCATION1,,,,,1,0,0,0
you can visit  LOCATION1   at the same time which is a great experience,0,0,0,0,,,,
You can not google an abstract concept  LOCATION1   is one of the more expensive areas in town,0,-1,0,0,,,,
"You can if you wear a wet suit  LOCATION1   is OK if you want to live and work in London , as a low paid Social Worker for the rest of your life",0,0,0,0,,,,
"You can hang in a pub at 16 ( I know because I am and I have ) and it 's a good way to meet other teens , especially if you go to one in  LOCATION1   around UCL",0,0,0,0,,,,
You can get a bus from LOCATION2 to  LOCATION1   corner in 15 minutes,0,0,0,0,,,,
You can get a bus from  LOCATION2   to LOCATION1 corner in 15 minutes,,,,,0,0,0,0
"You can find reasonably affordable accomodation in the  LOCATION1   , area which is in close proximity to the London centre",0,1,0,1,,,,
You can easily get to the centre/London from LOCATION2 or  LOCATION1  ,0,0,0,1,,,,
You can easily get to the centre/London from  LOCATION2   or LOCATION1,,,,,0,0,0,1
"You can combine a visit with a walk along the  LOCATION1   , next to the river , which has great views and lots of attractions",0,0,0,0,,,,
You can catch decent open-mike nights for unsigned acts and singer songwriters in  LOCATION1  ,0,0,0,0,,,,
You can always live in the skanky areas like  LOCATION1  ,-1,0,0,0,,,,
You are so close to the London and central London and  LOCATION1   have some great services and activites,1,0,0,1,,,,
"You are looking at a minimum of about 100,000 in  LOCATION1   for a 1 bed flat",0,0,0,0,,,,
"you are in the middle of fashion central , the museums and attractions are on your doorstep and the mighty  LOCATION1   is a stones throw away",0,0,0,0,,,,
You are better off living in  LOCATION1  ,0,0,0,0,,,,
You are a cockney if at the time of birth you can hear the sound of  LOCATION1   bells,0,0,0,0,,,,
you also have really nice areas like LOCATION2 and  LOCATION1  ,1,0,0,0,,,,
you also have really nice areas like  LOCATION2   and LOCATION1,,,,,1,0,0,0
You also get to see  LOCATION1   : - ),0,0,0,0,,,,
you absolutely have to check  LOCATION1   out,1,0,0,0,,,,
"You 're very lucky -  LOCATION1   is ly a lovely part of London , and very central",1,0,0,1,,,,
"You 're right in that LOCATION2 ,  LOCATION1   , etc are very expensive , but most of the nice and safe places will be expensive too",0,-1,0,0,,,,
"You 're right in that  LOCATION2   , LOCATION1 , etc are very expensive , but most of the nice and safe places will be expensive too",,,,,0,-1,0,0
"You 're also walking distance from both LOCATION1 and Queen 's Park , which are slightly more upmarket with excellent restaurants again , and a longish walk to  LOCATION2   , a lovely wild space with arguably one of the best views over London , and Kenwood House The best town north west of London is about 8,000 miles NW of London",,,,,0,0,0,0
"You 're also walking distance from both  LOCATION1   and Queen 's Park , which are slightly more upmarket with excellent restaurants again , and a longish walk to LOCATION2 , a lovely wild space with arguably one of the best views over London , and Kenwood House The best town north west of London is about 8,000 miles NW of London",0,0,0,0,,,,
"Yesterday I cycled from LOCATION2 in the west , through  LOCATION1   to the London and saw precisely nothing",0,0,0,0,,,,
"Yesterday I cycled from  LOCATION2   in the west , through LOCATION1 to the London and saw precisely nothing",,,,,0,0,0,0
Yes there are safe parts of LOCATION2 but far fewer than say  LOCATION1  ,0,0,1,0,,,,
Yes there are safe parts of  LOCATION2   but far fewer than say LOCATION1,,,,,0,0,0,0
Yes most people that live in LOCATION1 and  LOCATION2   are Bengalis,,,,,0,0,0,0
Yes most people that live in  LOCATION1   and LOCATION2 are Bengalis,0,0,0,0,,,,
yes LOCATION2 London and  LOCATION1   are very good areas,1,0,0,0,,,,
Yes I used to live in  LOCATION1  ,0,0,0,0,,,,
"Yes , LOCATION2 is one of the most strongly Jewish areas of London ( probably only beaten by  LOCATION1   , which is nearby )",0,0,0,0,,,,
"Yes , boundary change many years ago enclosed  LOCATION1   into the Greater London area",0,0,0,0,,,,
"Yes ,  LOCATION2   is one of the most strongly Jewish areas of London ( probably only beaten by LOCATION1 , which is nearby )",,,,,0,0,0,0
"Yes ,  LOCATION1   's pretty central , and easy to get into LOCATION1 from there",0,0,0,1,,,,
yes  LOCATION2   London and LOCATION1 are very good areas,,,,,1,0,0,0
yes  LOCATION1   needs two unemployment offices to manage the copius claims,0,0,0,0,,,,
"Yes  LOCATION1   is nice ( some of it ) , although the tourist bit is rather expensive",1,-1,0,0,,,,
Yes  LOCATION1   is a nice suburb of LOCATION1,1,0,0,0,,,,
"Yeah it is , just stay away from  LOCATION1  ",-1,0,0,0,,,,
"Yeah , LOCATION1 has it fair share of violence , but so does  LOCATION2  ",,,,,0,0,-1,0
"Yeah ,  LOCATION1   has it fair share of violence , but so does LOCATION2",0,0,-1,0,,,,
Yeah  LOCATION1   is lovely,1,0,0,0,,,,
write your address in google postal code  LOCATION1   is not very nice,-1,0,0,0,,,,
WOuldnt touch  LOCATION1   though very rough indeed,0,0,-1,0,,,,
Would not say LOCATION1 or  LOCATION2   less pleasant,,,,,1,0,0,0
Would not say  LOCATION1   or LOCATION2 less pleasant,1,0,0,0,,,,
woohhh i live in  LOCATION1   and no i do n't go around roobing/shooting people,0,0,0,0,,,,
"With lots of shopping centres around , also  LOCATION1   is the centre of all trains it can lead you to anywhere else in the country",0,0,0,1,,,,
"While in London , do visit  LOCATION1   - lots to see - and it 's in South London , on the river",0,0,0,0,,,,
"When she worked for the National Trust , a mate of mine from Liverpool had a couple from  LOCATION1   visit the property where she worked on the door",0,0,0,0,,,,
When I was a student I stayed in  LOCATION1   ( by the British Library ) for a month in Cartwright Gardens,0,0,0,0,,,,
"When I was a student at Imperial College ,  LOCATION1   was popular as it 's definitely a cheaper area and easily accessible on the 49 bus",0,1,0,1,,,,
When I go back to visit family i feel kinda homesick ( weird init ) I was actually born in  LOCATION1   and my mum got out of that as soon as she could,0,0,0,0,,,,
"What you are asking for does n't exist London is expensive ,  LOCATION1   especially so Hi , it really does depend on the kind of budget you are working to and the type of area you want to live in",0,0,0,0,,,,
"What you are asking for does n't exist London is expensive ,  LOCATION1   especially so Ah , you seek the holy grail",0,0,0,0,,,,
"What about Brookwood ,  LOCATION1   or Guildford",0,0,0,0,,,,
"westwards ,  LOCATION1   is a boho-chic area",0,0,0,0,,,,
Well the best places to live in London are in the LOCATION2 and the very central  LOCATION1  ,0,0,0,0,,,,
Well the best places to live in London are in the LOCATION2 and the very central  LOCATION1  ,0,0,0,0,,,,
Well the best places to live in London are in the  LOCATION2   and the very central LOCATION1,,,,,0,0,0,0
Well the best places to live in London are in the  LOCATION2   and the very central LOCATION1,,,,,0,0,0,0
Well if you have bags of money you should like  LOCATION1  ,0,-1,0,0,,,,
"well , you could try anything in LOCATION2 area , close to  LOCATION1   might be a bit too expensive",0,-1,0,0,,,,
"well , you could try anything in  LOCATION2   area , close to LOCATION1 might be a bit too expensive",,,,,1,0,0,0
"Well , my dad works on  LOCATION1   road",0,0,0,0,,,,
"well , i ` m not in London at the moment ( sad face ) , but when i was there , i lived in archway , LOCATION2 and  LOCATION1   Why are you asking , tihs is a personal question",0,0,0,0,,,,
"well , i ` m not in London at the moment ( sad face ) , but when i was there , i lived in archway ,  LOCATION2   and LOCATION1 Why are you asking , tihs is a personal question",,,,,0,0,0,0
Welcome to LOCATION2 A Londoner from  LOCATION1   - next borough along,0,0,0,0,,,,
Welcome to  LOCATION2   A Londoner from LOCATION1 - next borough along,,,,,0,0,0,0
we love  LOCATION1   an area that has good food and shopping,0,0,0,0,,,,
"We lived near  LOCATION1   several years ago but at that time there were 5 kids in the family , we have 1 more additional person now",0,0,0,0,,,,
"We have one Black sheep in our Family who was indeed born in  LOCATION1   , but we keep it quite",0,0,0,0,,,,
We have been reaserching neighborhoods and so far  LOCATION1   seems to be the best choice for us,1,0,0,0,,,,
"Walk back up to Hard Rock Cafe around  LOCATION1   Corner , its a busy intersection but there are underpasses",0,0,0,0,,,,
"W5 5AS Shisha cafe in  LOCATION1   , London",0,0,0,0,,,,
W2 1TH Tel : 020 7724 2030 Nearest Tube Station is  LOCATION1   Road or Warwick Avenue,0,0,0,0,,,,
"W1 Lounge 76-78 Mortimer Street , Off Regent Street , London , W1W 7SA For Further Info- Tel/Fax : 0207 637 1377 Abbas Address : 29 Bond street ,  LOCATION1   , London",0,0,0,0,,,,
"Very bohemian hi all im off down London for the new year although i go down London at least 3 or 4 times a year i always seem to go to the same places , my partner and i love live bands and music , i was thinking of having a night out around  LOCATION1   can any one recommended anywhere around there best places to go and what to expect",0,0,0,0,,,,
"Unless you want to go to private nightclubs in the evening and have lots of cash to spend , do n't suggest  LOCATION1  ",-1,-1,0,0,,,,
Unless you mean Red Indians and I do n't think we have any correction  LOCATION1   is full of Bangladeshi 's,0,0,0,0,,,,
university of  LOCATION1   queen mary university,0,0,0,0,,,,
Type in  LOCATION1   into a website for more details,0,0,0,0,,,,
"try to live on the  LOCATION1   , its got a better atmosphere and is much cleaner",1,0,0,0,,,,
try somewhere in  LOCATION1  ,1,0,0,0,,,,
"try looking in LOCATION1 or  LOCATION2   , these are OK areas , with nice cafes",,,,,1,0,0,0
"try looking in  LOCATION1   or LOCATION2 , these are OK areas , with nice cafes",1,0,0,0,,,,
try looking around LOCATION2 and  LOCATION1  ,1,0,0,0,,,,
try looking around  LOCATION2   and LOCATION1,,,,,1,0,0,0
"try LOCATION1 or  LOCATION2   , you can find something decent and for not much money",,,,,1,1,0,0
Try LOCATION1 and  LOCATION2   - all on the Piccadilly Line,,,,,1,0,0,1
Try a place called LOCATION1 20 mins by train from London  LOCATION2  ,,,,,0,0,0,0
Try a place called  LOCATION1   20 mins by train from London LOCATION2,1,0,0,1,,,,
"try  LOCATION1   or LOCATION2 , you can find something decent and for not much money",1,1,0,0,,,,
Try  LOCATION1   in SE21 . It 's a nice area and 3 miles from the centre of London,1,0,0,1,,,,
"try  LOCATION1   in NW London onj the Jubilee Line , there are some 'cheaper ' type rooms to rent there",1,1,0,1,,,,
Try  LOCATION1   and LOCATION2 - all on the Piccadilly Line,1,0,0,1,,,,
Try  LOCATION1  ,1,0,0,0,,,,
Try  LOCATION1  ,1,0,0,0,,,,
Try  LOCATION1  ,1,0,0,0,,,,
"travel can be difficult , especially at  LOCATION1   where there are no trains , just busses",0,0,0,-1,,,,
Top end of LOCATION2 is just a few minutes walk from the lovely area that is  LOCATION1   ( the Parliament Hill end ),1,0,0,0,,,,
Top end of  LOCATION2   is just a few minutes walk from the lovely area that is LOCATION1 ( the Parliament Hill end ),,,,,0,0,0,0
To start with  LOCATION1   is the place from where you will have an easy access to central London,0,0,0,1,,,,
"To eat , try the Rock Garden where you can sit outside or Chez Gerard which is upstairs in the  LOCATION1   market area",0,0,0,0,,,,
"To compare the Greater London suburbs with urban areas in France , LOCATION2 is more similar to French suburbs than  LOCATION1   is , due to the higher density of housing and also the tram lines running through the town",0,0,0,0,,,,
"To compare the Greater London suburbs with urban areas in France ,  LOCATION2   is more similar to French suburbs than LOCATION1 is , due to the higher density of housing and also the tram lines running through the town",,,,,0,0,0,0
Three of my friends were mugged within a 4 month time in  LOCATION1   - 2 girls and 1 guy,0,0,-1,0,,,,
Thousands of people live in  LOCATION1  ,0,0,0,0,,,,
This would increase the already saturated congestion especially between LOCATION1 and  LOCATION2  ,,,,,0,0,0,0
This would increase the already saturated congestion especially between  LOCATION1   and LOCATION2,0,0,0,0,,,,
"This should give you a rough idea or wages/accommodation etc 've been offered a job in LOCATION1 (  LOCATION2   ) and am looking for somewhere to live , I 've found loads of accomodation within my  range , but am really not sure of which areas are within decent travelling times",,,,,0,0,0,0
"This should give you a rough idea or wages/accommodation etc 've been offered a job in  LOCATION1   ( LOCATION2 ) and am looking for somewhere to live , I 've found loads of accomodation within my  range , but am really not sure of which areas are within decent travelling times",0,0,0,0,,,,
"This postcode covers two areas , LOCATION1 and  LOCATION2  ",,,,,0,0,0,0
"This postcode covers two areas ,  LOCATION1   and LOCATION2",0,0,0,0,,,,
This may sound stupid but whenever I visit a rough part of London such a as LOCATION2 or  LOCATION1   I really enjoy it there,1,0,-1,0,,,,
This may sound stupid but whenever I visit a rough part of London such a as  LOCATION2   or LOCATION1 I really enjoy it there,,,,,1,0,-1,0
This is because  LOCATION1   historically is known to be a bit 'rough ',0,0,-1,0,,,,
This is a 5 bedroom apartment in  LOCATION1  ,0,0,0,0,,,,
Think  LOCATION1   village,0,0,0,0,,,,
"They 're called ` Northwoods ' :  LOCATION1   has quite nice areas to it , and good transport links",1,0,0,1,,,,
theres nothing wrong with  LOCATION1  ,1,0,0,0,,,,
theres a couple good places in  LOCATION1   but not great,0,0,0,0,,,,
There will be Underground stations in  LOCATION1   in the next few years,0,0,0,1,,,,
There were only a small percentage who resided out of  LOCATION1   and I can not see what effect this bar on non-residents of LOCATION1 has or will have,0,0,0,0,,,,
"There was no London town ,  LOCATION1   is south of the river and was not under the jurisdiction of the London",0,0,0,0,,,,
There is quite a good train service from  LOCATION1  ,0,0,0,1,,,,
"there is quiet a lot going on down in  LOCATION1   and getting into town is easy as there are millions of buses along the high road to LOCATION1 tube , night buses and the overland rail links",0,0,0,1,,,,
There is no where in London that 's perfect There is a camp site in  LOCATION1   which is 6 miles south of central London,0,0,0,0,,,,
There is NO good/fast access to  LOCATION1  ,0,0,0,-1,,,,
There is an asda just up the road in  LOCATION1  ,0,0,0,0,,,,
There is also the history of course because  LOCATION1   was notorious for the Jack The Ripper murders in the 1880s and the infamous Kray twins in the 1960s,0,0,0,0,,,,
"There is also LOCATION2 , which is an area perhaps comparable to  LOCATION1   and equally favoured by the Japanese",0,0,0,0,,,,
"There is also  LOCATION2   , which is an area perhaps comparable to LOCATION1 and equally favoured by the Japanese",,,,,0,0,0,0
"There is a place called  LOCATION1   nearby , which is a quite classical brit street , with old pubs",0,0,0,0,,,,
There is a great club in  LOCATION1   called Roadhouse which is open till 3am every night and has a live band every night,0,0,0,0,,,,
"There is a good club in the  LOCATION1   area , that offers several different Martial Arts Try Tokei",0,0,0,0,,,,
There is a camp site in  LOCATION1   which is 6 miles south of central London,0,0,0,0,,,,
"There are very few restaurants in LOCATION1 , If you like Malaysian food , you should definitely try Kaya House in nearby  LOCATION2  ",,,,,0,0,0,0
"There are very few restaurants in  LOCATION1   , If you like Malaysian food , you should definitely try Kaya House in nearby LOCATION2",0,0,0,0,,,,
there are some parts of  LOCATION1   that are nice and VERY quiet,1,0,0,0,,,,
"There are some parts like LOCATION2 ,  LOCATION1   , that are too lovely to put into words",1,0,0,0,,,,
"There are some parts like  LOCATION2   , LOCATION1 , that are too lovely to put into words",,,,,1,0,0,0
there are some nice places to live in  LOCATION1  ,0,0,0,0,,,,
"There are some nice parts to  LOCATION1   , especially to the south , east and west",1,0,0,0,,,,
There are some great places in  LOCATION1   which has a large Indian population ( It 's known as Little India and some of the street signs are in Indian too,1,0,0,0,,,,
there are some good shops in  LOCATION1  ,0,0,0,0,,,,
"There are several estates not to far away , well in the  LOCATION1   area which really are n't very nice",-1,0,0,0,,,,
there are several areas in London with a high irish population  LOCATION1   is one,0,0,0,0,,,,
There are plenty of art and fashion students living near  LOCATION1   who have an alternative look - you 'll have no problem,0,0,0,0,,,,
There are other little places around there such as  LOCATION1  ,0,0,0,0,,,,
"there ARE new flats being built in  LOCATION1   near the Churchill Insurance place , and just opposite that big building with the massive clock on it ( hope that is clear",0,0,0,0,,,,
"There are lots of possibilities for going out in LOCATION2 or  LOCATION1   , and transport connections are excellent",0,0,0,1,,,,
"There are lots of possibilities for going out in  LOCATION2   or LOCATION1 , and transport connections are excellent",,,,,0,0,0,1
"There are lots of parks , all the shopping / nightlife you could possibly want in  LOCATION1   and a frequent Overground service that only takes about 25 minutes to get to Central London",0,0,0,1,,,,
There are lots of nice places in  LOCATION1   to live,0,0,0,0,,,,
there are loads of pick pockets down the  LOCATION1  ,0,0,-1,0,,,,
"There are good pubs and restaurants in LOCATION2 , but not really in  LOCATION1  ",0,0,0,0,,,,
"There are good pubs and restaurants in  LOCATION2   , but not really in LOCATION1",,,,,0,0,0,0
"there are good places in  LOCATION1   , it is not only a very exciting place to live but there is very good transportation routes available",1,0,0,1,,,,
"There are good bus and train routes around , and several trams stops to get you quickly into  LOCATION1   for shopping and main station",0,0,0,1,,,,
"There are estates nearby ( also in LOCATION2 and  LOCATION1   ) where there are gangs , drugs , gun and knife crime",0,0,-1,0,,,,
"There are estates nearby ( also in  LOCATION2   and LOCATION1 ) where there are gangs , drugs , gun and knife crime",,,,,0,0,-1,0
"There are contrasting areas in both boroughs , especially  LOCATION1  ",0,0,0,0,,,,
There are better places than  LOCATION1   to go hang out,-1,0,0,0,,,,
"There are also lots of great parks to hang out in nice weather , LOCATION2 of course but also  LOCATION1  ",0,0,0,0,,,,
"There are also lots of great parks to hang out in nice weather ,  LOCATION2   of course but also LOCATION1",,,,,0,0,0,0
There are also cinemas in  LOCATION1   and a live theatre - the LOCATION1 Theatre,0,0,0,0,,,,
there are alot of stores etc on  LOCATION1   high road,0,0,0,0,,,,
There are a few still about and there is one situated in  LOCATION1   in London,0,0,0,0,,,,
There 's pretty good jazz bar in  LOCATION1   and some decent pubs,0,0,0,0,,,,
"There 's plenty of historical or simply interesting sites e g LOCATION2 ,  LOCATION1   Market , The Clink , Leicester Square and Trafalgar Square are both interesting and nice places to wander round As a student through to my late twenties I loved living in central London",0,0,0,0,,,,
"There 's plenty of historical or simply interesting sites e g  LOCATION2   , LOCATION1 Market , The Clink , Leicester Square and Trafalgar Square are both interesting and nice places to wander round As a student through to my late twenties I loved living in central London",,,,,0,0,0,0
"There 's hardly any affordable area in London , but certainly not  LOCATION1  ",0,-1,0,0,,,,
There 's also a few in  LOCATION1   which is also a good night out if that 's your thing,0,0,0,0,,,,
"There 's a Tesco metro and Lidl ; - ) by the tube , a bigger Tesco towards LOCATION1 and a big Sainsburys up in  LOCATION2  ",,,,,0,0,0,0
"There 's a Tesco metro and Lidl ; - ) by the tube , a bigger Tesco towards  LOCATION1   and a big Sainsburys up in LOCATION2",0,0,0,0,,,,
There 's a Tesco and a Waitrose in LOCATION2 and an Asda on the  LOCATION1   ( which is cheap ),0,1,0,0,,,,
There 's a Tesco and a Waitrose in  LOCATION2   and an Asda on the LOCATION1 ( which is cheap ),,,,,0,0,0,0
"there 's  LOCATION1   , which is , I would say , a forest The Thames also runs through there",0,0,0,0,,,,
Then there are nice suburbs like LOCATION1 or  LOCATION2  ,,,,,1,0,0,0
Then there are nice suburbs like  LOCATION1   or LOCATION2,1,0,0,0,,,,
"Then I would say , go for  LOCATION1   , save some cash",0,1,0,0,,,,
"Then for a ruby ( ruby murray= curry ) on  LOCATION1   ( filled w curry houses , inc vegetarian options ) then wander round the markets",0,0,0,0,,,,
The worst areas are the LOCATION2  LOCATION1   - In my opinion the worst part of London,-1,0,0,0,,,,
The worst areas are the  LOCATION2   LOCATION1 - In my opinion the worst part of London,,,,,-1,0,0,0
The worst area is  LOCATION1   and you 're not going there so it 'll be ok,-1,0,0,0,,,,
"The whole of that  LOCATION1   region is popular with Uni kids , espescially art kids like yourself",1,0,0,0,,,,
The tube stop is  LOCATION1  ,0,0,0,0,,,,
The transport links into central London are excellent and a cab back from LOCATION2 or  LOCATION1   at night is n't that expensive,0,0,0,1,,,,
The transport links into central London are excellent and a cab back from  LOCATION2   or LOCATION1 at night is n't that expensive,,,,,0,0,0,1
"The tradtional way to wind up a friday or saturday night is to go to the bagel place in LOCATION1 (  LOCATION2   ) , which is all night",,,,,0,0,0,0
"The tradtional way to wind up a friday or saturday night is to go to the bagel place in  LOCATION1   ( LOCATION2 ) , which is all night",0,0,0,0,,,,
The third major climbing centre is  LOCATION1  ,0,0,0,0,,,,
"The site shows that the higher crime rates are in the centre of London , however this does not give the crime rate per 1000 population and central London has the greatest Basically ,  LOCATION1   is quite safe on the whole , your main concern should be pick-pockets , but in 20 years living here I have never had a problem",0,0,1,0,,,,
The safest Boroughs are LOCATION1 and  LOCATION2  ,,,,,0,0,1,0
The safest Boroughs are  LOCATION1   and LOCATION2,0,0,1,0,,,,
THE ROAD OF OXFORD STREET MAKES THE NORTHERN BORDER AND THE ROADS OF  LOCATION1   ROAD AND ST MARTINS LANE MAKE THE EASTERN BORDER,0,0,0,0,,,,
the real treat of living in  LOCATION1   are the smaller shops that line the streets of this residential neighborhood,0,0,0,0,,,,
The proposed north-south cross-river tramway between LOCATION2 and  LOCATION1   is also in doubt Central London used to be run entirely on trams many decades ago,0,0,0,0,,,,
The proposed north-south cross-river tramway between  LOCATION2   and LOCATION1 is also in doubt Central London used to be run entirely on trams many decades ago,,,,,0,0,0,0
The Prime Meridian passes through  LOCATION1  ,0,0,0,0,,,,
"The posh areas like  LOCATION1   , are far too noisy and busy",0,-1,0,0,,,,
The people who live in  LOCATION1   are Londoners,0,0,0,0,,,,
The outskirts of London ( for example LOCATION1 in  LOCATION2   ) are filled with pretty wealthy areas,,,,,0,0,0,0
The outskirts of London ( for example  LOCATION1   in LOCATION2 ) are filled with pretty wealthy areas,0,-1,0,0,,,,
"The outer London suburbs were once in other surrounding counties such as Surrey ,  LOCATION1   , Essex , Kent and so on",0,0,0,0,,,,
The only village type bits of the capital are possibly the quiet areas around LOCATION2 and  LOCATION1  ,0,0,0,0,,,,
The only village type bits of the capital are possibly the quiet areas around  LOCATION2   and LOCATION1,,,,,0,0,0,0
The only place where I 've felt a bit vulnerable is in  LOCATION1   at night,0,0,-1,0,,,,
"The nicer bits , like  LOCATION1   are very expensive",1,-1,0,0,,,,
"The Museum of London at the  LOCATION1   has a new modern London gallery , and a new exhibition of London street photography",0,0,0,0,,,,
"The Museum of Childhood in  LOCATION1   is worth a visit , although I get more out of this trip down memory lane than the kids do",0,0,0,0,,,,
The most expensive areas are probably LOCATION2 and  LOCATION1   in Central London,0,-1,0,1,,,,
The most expensive areas are probably  LOCATION2   and LOCATION1 in Central London,,,,,0,-1,0,1
the most decent places are LOCATION2 and  LOCATION1  ,1,0,0,0,,,,
the most decent places are  LOCATION2   and LOCATION1,,,,,1,0,0,0
the most cheapest area are the worst you should live  LOCATION1  ,0,0,0,0,,,,
"The market at  LOCATION1   is actually open every day , but is at its largest and busiest at the weekend",0,0,0,0,,,,
The London Dungeons are no longer there - they are at LOCATION1 now Why do n't you use the internet to search out business in  LOCATION2   area,,,,,0,0,0,0
The London Dungeons are no longer there - they are at  LOCATION1   now Why do n't you use the internet to search out business in LOCATION2 area,0,0,0,0,,,,
The LOCATION2 dist of  LOCATION1   is mainly residential,0,0,0,0,,,,
"The LOCATION1 has marketing agencies all over , but particularly in the  LOCATION2   area which is the original home of ad agencies and the like",,,,,0,0,0,0
The LOCATION1 and  LOCATION2   area is quite good too,,,,,1,0,0,0
The lived in the LOCATION1 and  LOCATION2   districts,,,,,0,0,0,0
The lived in the  LOCATION1   and LOCATION2 districts,0,0,0,0,,,,
"the highly paid jobs tend to be in the  LOCATION1   ( with an average salary of around 100,000 )",0,0,0,0,,,,
The highest crime rate for any area in the UK is  LOCATION1   in central London,0,0,-1,1,,,,
"The further you go in , the higher the figures rise ; with LOCATION2 and  LOCATION1   having the highest figures across all crime categories",0,0,-1,0,,,,
